epoch,loss,mae,mse
0,0.0022266224636834867,0.019025221,0.0022266184
1,0.00014582240482004626,0.009068214,0.00014582268
2,0.00010456111558816318,0.007720756,0.00010456119
3,8.446955531154898e-05,0.006965637,8.44696e-05
4,7.177540631383712e-05,0.006427487,7.1775445e-05
5,6.324928355371902e-05,0.0060357745,6.324932e-05
6,5.688964452020614e-05,0.0057319384,5.688971e-05
7,5.132272206431904e-05,0.0054332446,5.1322724e-05
8,4.800015880375913e-05,0.005256048,4.8000147e-05
9,4.607616318093366e-05,0.005141029,4.607628e-05
10,4.281347744380348e-05,0.004962757,4.28135e-05
11,4.07074673085591e-05,0.004830937,4.0707495e-05
12,3.9025373522145864e-05,0.004727502,3.9025315e-05
13,3.687856007278693e-05,0.004598195,3.6878566e-05
14,3.519639003240666e-05,0.0044854577,3.51964e-05
15,3.385860774485535e-05,0.0044030277,3.385856e-05
16,3.268495375039923e-05,0.0043265726,3.2684973e-05
17,3.205131772109821e-05,0.0042843977,3.2051303e-05
18,3.041259539258461e-05,0.0041754986,3.041255e-05
19,2.9826781374601905e-05,0.004132702,2.9826851e-05
20,2.915282304177748e-05,0.004087663,2.9152821e-05
21,2.8074723034168886e-05,0.0040194946,2.8074799e-05
22,2.7364812326094355e-05,0.0039658584,2.7364844e-05
23,2.6585889984014467e-05,0.0039099744,2.65859e-05
24,2.6388758941639628e-05,0.0038902247,2.6388709e-05
