epoch,loss,mae,mse
0,0.0017156205109797366,0.02037925,0.0017156232
1,0.00018049462267805393,0.009919984,0.00018049454
2,0.00012163973197638527,0.008264856,0.00012163987
3,9.626821608358257e-05,0.0073955585,9.62681e-05
4,8.20497535512407e-05,0.0068361606,8.204971e-05
5,7.223046916607611e-05,0.0064209215,7.223045e-05
6,6.534783336500893e-05,0.006107383,6.534779e-05
7,5.961899904414604e-05,0.005837163,5.9619008e-05
8,5.50311952094472e-05,0.0056094634,5.5031196e-05
9,5.101181018109546e-05,0.0054022362,5.101179e-05
10,4.799214175153836e-05,0.0052415105,4.7992213e-05
11,4.5744598041589626e-05,0.0051184697,4.5744644e-05
12,4.3496569363560976e-05,0.0049905446,4.349664e-05
13,4.1373189340879894e-05,0.004871541,4.1373165e-05
14,3.962422666592832e-05,0.0047669667,3.9624254e-05
15,3.813187078655575e-05,0.00467875,3.813194e-05
16,3.6684998787923376e-05,0.0045853215,3.6685018e-05
17,3.5205310695841836e-05,0.0044950657,3.520531e-05
18,3.403824155991009e-05,0.0044210153,3.4038265e-05
19,3.304455755341792e-05,0.004353379,3.3044504e-05
20,3.2191706455495046e-05,0.0042996192,3.219175e-05
21,3.1277084264995825e-05,0.0042385007,3.1277144e-05
22,3.037181781827999e-05,0.0041783988,3.0371839e-05
23,2.9596739391619667e-05,0.004125268,2.9596764e-05
24,2.910853997605977e-05,0.0040933015,2.9108567e-05
