epoch,loss,mae,mse
0,6.557276486633346,2.3285582,6.5572877
1,0.38937659306501843,0.50057536,0.38937664
2,0.1468730623648329,0.3246006,0.14687295
3,0.10044547967288985,0.26807237,0.100445345
4,0.07818730274678441,0.23486118,0.078187324
5,0.06821156539410804,0.21773864,0.06821146
6,0.06438776691871574,0.21040191,0.06438783
7,0.06317596647162765,0.20772623,0.06317589
8,0.06280879664931865,0.2067642,0.06280894
9,0.0626816840098377,0.2063682,0.062681645
10,0.0626265393769902,0.20617321,0.06262647
11,0.06259470082382732,0.20605846,0.06259467
12,0.06257244927318426,0.20598052,0.06257245
13,0.06255515341610722,0.20592311,0.062555015
14,0.06254097880092681,0.20587875,0.06254094
15,0.06252875523809406,0.20584118,0.06252866
16,0.06251821316617673,0.20581017,0.062518336
17,0.06250900294427665,0.20578273,0.06250903
18,0.06250076221862023,0.20575891,0.06250088
19,0.06249349237954958,0.2057376,0.062493373
20,0.062487001014438055,0.20571908,0.062486973
21,0.06248104762869022,0.20570149,0.062481035
22,0.0624755301459841,0.2056863,0.062475447
23,0.062470519159970525,0.20567164,0.06247037
24,0.062465866812409045,0.20565858,0.062466014
25,0.06246156742531549,0.20564684,0.06246152
26,0.06245756143801438,0.2056359,0.06245756
27,0.06245383335193601,0.20562564,0.062453978
28,0.06245036866173631,0.20561565,0.062450346
29,0.06244712487955807,0.20560695,0.0624471
30,0.062444090805821174,0.20559849,0.062444158
31,0.06244122935716241,0.20559011,0.062441282
32,0.06243852162846647,0.20558253,0.062438633
33,0.06243594195094551,0.20557575,0.062435932
34,0.06243346795571497,0.20556965,0.062433448
35,0.06243109529904011,0.20556377,0.06243122
36,0.06242878351356694,0.20555742,0.062428787
37,0.06242656551496939,0.20555185,0.06242656
38,0.0624243915829736,0.20554614,0.062424406
39,0.06242231010884777,0.20554115,0.062422365
40,0.0624203214553199,0.20553598,0.06242027
41,0.06241838458957626,0.2055311,0.062418435
42,0.062416518615556776,0.20552637,0.062416576
43,0.06241471212880909,0.20552212,0.06241463
44,0.062412982267376314,0.20551783,0.062412906
45,0.06241130651925867,0.20551336,0.06241136
46,0.0624096859604701,0.20550932,0.0624096
47,0.06240810277903333,0.20550537,0.062408097
48,0.06240650756659107,0.2055017,0.06240649
49,0.06240493391157365,0.20549811,0.06240496
50,0.06240338508550618,0.20549418,0.06240338
51,0.062401868777725134,0.20549124,0.062401924
52,0.062400360924060344,0.20548804,0.062400404
53,0.06239888392211102,0.20548467,0.0623989
54,0.06239742919330276,0.20548138,0.062397443
55,0.06239597122516122,0.20547904,0.06239591
56,0.06239454297634814,0.20547554,0.06239446
57,0.062393122223879625,0.20547245,0.06239306
58,0.06239170716063063,0.20546937,0.062391613
59,0.0623903178046239,0.20546672,0.062390357
60,0.06238895266637145,0.20546322,0.062388927
61,0.062387625954078714,0.2054603,0.062387556
62,0.06238629220561413,0.20545734,0.062386237
63,0.062384960973055174,0.20545459,0.06238504
64,0.062383622728187815,0.20545161,0.062383756
65,0.062382300557622505,0.20544893,0.062382404
66,0.0623809910134896,0.20544602,0.06238104
67,0.06237967567555119,0.20544337,0.062379673
68,0.06237835500852272,0.20544069,0.06237843
69,0.06237704603625241,0.20543855,0.062376946
70,0.062375710771211616,0.20543604,0.062375735
71,0.06237438975501795,0.20543371,0.062374335
72,0.06237307896896739,0.20543106,0.06237298
73,0.06237177352589683,0.20542887,0.06237181
74,0.06237042245423017,0.20542645,0.062370483
75,0.06236909292141544,0.20542385,0.062369265
76,0.062367804208512935,0.20542161,0.062367864
77,0.06236653750208481,0.20541826,0.062366556
78,0.06236527880587371,0.20541558,0.062365327
79,0.06236403785856489,0.20541297,0.06236396
80,0.06236278515258167,0.20541057,0.0623626
81,0.062361546450875716,0.2054078,0.062361427
82,0.062360311159959,0.2054056,0.062360264
83,0.06235909407751906,0.2054031,0.062358983
84,0.06235787756669868,0.2054006,0.0623578
85,0.062356674309452714,0.20539819,0.062356602
86,0.06235547274288419,0.20539533,0.062355503
87,0.06235428173445251,0.2053927,0.062354334
88,0.062353096139918164,0.20539036,0.062353183
89,0.06235190832507451,0.20538805,0.062351942
90,0.06235071303558118,0.2053856,0.062350642
91,0.06234953626568666,0.20538309,0.06234949
92,0.06234835447555275,0.20538062,0.062348325
93,0.0623471867509671,0.20537801,0.06234713
94,0.062346010002935714,0.20537588,0.062345926
95,0.06234483118197256,0.20537344,0.062344745
96,0.0623436576313522,0.20537098,0.062343605
97,0.06234249218529966,0.20536882,0.06234247
98,0.062341311644589226,0.20536649,0.062341206
99,0.06234014627803474,0.20536406,0.062340047
