epoch,loss,mae,mse
0,0.13843994673051313,0.31669554,0.13844003
1,0.13456414313580586,0.3134548,0.13456404
2,0.13441569078698817,0.3132689,0.13441584
3,0.13434920967918046,0.3131839,0.13434917
4,0.13430140320244688,0.31312016,0.13430133
5,0.134255747956746,0.31305853,0.13425557
6,0.13420108854317134,0.31298292,0.13420105
7,0.13411701245303545,0.31286713,0.1341166
8,0.133933978364009,0.31262144,0.13393411
9,0.13328784353663525,0.31177846,0.13328777
10,0.13223466379577317,0.31030062,0.13223478
11,0.13161197641045905,0.30937737,0.13161178
12,0.13126562417384988,0.30884963,0.13126555
13,0.1310322989526415,0.3084853,0.13103245
14,0.13084323332822723,0.30818623,0.13084343
15,0.13066916612741047,0.30791005,0.13066916
16,0.13049872036702972,0.30764323,0.13049895
17,0.13033121132288364,0.30738163,0.1303313
18,0.13017124259397758,0.30713192,0.13017121
19,0.1300223362927497,0.3069002,0.13002233
20,0.1298824941133364,0.30668128,0.1298824
21,0.12974323466807727,0.30646235,0.12974319
22,0.1295920330914641,0.306226,0.12959205
23,0.1294189769905111,0.3059562,0.12941921
24,0.12922270472135652,0.3056527,0.12922275
