epoch,loss,mae,mse
0,0.0009349468057439662,0.020157412,0.0009349456
1,0.00021844119058921934,0.011466171,0.00021844152
2,0.0001587923922634218,0.009712087,0.00015879254
3,0.00013301901412196457,0.008845774,0.00013301923
4,0.00011720243690302596,0.008255203,0.00011720225
5,0.00010669826075783931,0.007854677,0.000106698055
6,9.878719054569955e-05,0.0075397347,9.878699e-05
7,9.161261084896978e-05,0.0072497516,9.16128e-05
8,8.534948396205436e-05,0.0069939704,8.534944e-05
9,8.042889449570794e-05,0.0067874286,8.0428734e-05
10,7.639031834085471e-05,0.0066124955,7.639033e-05
11,7.322390091256238e-05,0.0064686174,7.3223804e-05
12,7.053596157347784e-05,0.0063521657,7.053592e-05
13,6.818501322006342e-05,0.0062386254,6.8184876e-05
14,6.647248510504142e-05,0.006160978,6.647248e-05
15,6.46607350395061e-05,0.006072019,6.466065e-05
16,6.329092173837126e-05,0.0060103345,6.329097e-05
17,6.174368205975043e-05,0.0059331874,6.174365e-05
18,6.088224414968863e-05,0.00588898,6.0882307e-05
19,5.9585656612180175e-05,0.005825109,5.9585804e-05
20,5.842435240396299e-05,0.0057686507,5.842431e-05
21,5.766035112610553e-05,0.005732437,5.7660356e-05
22,5.6641106034512634e-05,0.0056780437,5.664094e-05
23,5.634488231735304e-05,0.005665272,5.6344954e-05
24,5.571857724193251e-05,0.0056249266,5.5718607e-05
25,5.501793639938114e-05,0.005589079,5.5018016e-05
26,5.433119191788137e-05,0.0055562225,5.433141e-05
27,5.3489369607996196e-05,0.0055183684,5.3489348e-05
28,5.32015338644851e-05,0.005499786,5.3201537e-05
29,5.26354622762301e-05,0.0054713106,5.2635365e-05
30,5.221829708869336e-05,0.005447301,5.221829e-05
31,5.1782434972701595e-05,0.0054232613,5.1782452e-05
32,5.147337082162267e-05,0.0054071983,5.1473286e-05
33,5.101447128137806e-05,0.005387979,5.101446e-05
34,5.0453399617108514e-05,0.0053562154,5.0453404e-05
35,5.039388689940097e-05,0.0053536016,5.0393915e-05
36,4.995018143177731e-05,0.005325453,4.9950166e-05
37,4.9473954272689296e-05,0.005300264,4.9473834e-05
38,4.91885215693037e-05,0.005288095,4.9188482e-05
39,4.8859509959584103e-05,0.005268845,4.8859507e-05
40,4.859489719703561e-05,0.0052559497,4.8594957e-05
41,4.812933232402429e-05,0.00522632,4.8129292e-05
42,4.7886364658770616e-05,0.0052151727,4.7886464e-05
43,4.767322588042589e-05,0.0052046916,4.7673206e-05
44,4.747789299552096e-05,0.0051941834,4.7477875e-05
45,4.711520956334425e-05,0.005172415,4.7115216e-05
46,4.69000996593968e-05,0.0051579243,4.690002e-05
47,4.663781400042353e-05,0.005143063,4.663781e-05
48,4.643636574939592e-05,0.0051321755,4.6436344e-05
49,4.619028845860157e-05,0.0051163197,4.6190224e-05
50,4.601171291986248e-05,0.005111569,4.6011843e-05
51,4.57695814158069e-05,0.005094459,4.5769528e-05
52,4.567656432278454e-05,0.005092518,4.567656e-05
53,4.55043810987263e-05,0.005079749,4.550438e-05
54,4.525838410831057e-05,0.0050677424,4.525839e-05
55,4.5061886714829595e-05,0.0050573354,4.5061897e-05
56,4.503041496587685e-05,0.005054385,4.5030454e-05
57,4.473820330924354e-05,0.005037547,4.4738186e-05
58,4.470237504661782e-05,0.0050338996,4.470247e-05
59,4.4465782154002226e-05,0.005022032,4.4465713e-05
60,4.4301849217445125e-05,0.0050141895,4.4301873e-05
61,4.4178826434072106e-05,0.0050026737,4.417887e-05
