epoch,loss,mae,mse
0,0.008217028058508772,0.03518341,0.008216997
1,7.399614523378065e-05,0.00650384,7.399615e-05
2,4.338635881722509e-05,0.0050647557,4.3386288e-05
3,3.362607593867947e-05,0.004494241,3.3626067e-05
4,2.8461733826910324e-05,0.004150641,2.8461742e-05
5,2.495270287927637e-05,0.003894877,2.4952664e-05
6,2.2452465897299907e-05,0.003700077,2.2452477e-05
7,2.062743981774802e-05,0.0035506545,2.0627453e-05
8,1.9241957377475092e-05,0.0034317288,1.9241974e-05
9,1.81083040390437e-05,0.0033318086,1.8108341e-05
10,1.7121674269322106e-05,0.0032418366,1.7121665e-05
11,1.6350771449221396e-05,0.003168749,1.6350736e-05
12,1.5676892073535786e-05,0.0031040995,1.5676897e-05
13,1.5088023134528537e-05,0.003046997,1.5088024e-05
14,1.4588147727250292e-05,0.002996988,1.4588159e-05
15,1.4083450679451864e-05,0.0029462338,1.40834845e-05
16,1.3618988357896885e-05,0.0028988959,1.3619009e-05
17,1.3183990734619687e-05,0.002853528,1.31840125e-05
18,1.2834552301260127e-05,0.0028160866,1.2834589e-05
19,1.2510499241132832e-05,0.0027812817,1.2510454e-05
20,1.2231429738239284e-05,0.002750982,1.2231422e-05
21,1.1968803721790127e-05,0.0027215637,1.1968808e-05
22,1.1742808962629565e-05,0.0026958063,1.174284e-05
23,1.1488795030361503e-05,0.002667405,1.1488803e-05
24,1.1309606353814651e-05,0.0026470178,1.13096075e-05
25,1.1082737389516516e-05,0.002620049,1.1082729e-05
26,1.0892705222686648e-05,0.0025977795,1.0892703e-05
27,1.0742756300812533e-05,0.0025799712,1.074276e-05
28,1.0577958265184892e-05,0.0025601669,1.0577964e-05
29,1.039924701405209e-05,0.0025389122,1.0399236e-05
30,1.0275122409186322e-05,0.0025238418,1.0275095e-05
31,1.0147869977698166e-05,0.0025085318,1.0147868e-05
32,1.0004384658337864e-05,0.0024910234,1.0004382e-05
33,9.89651812699853e-06,0.0024775958,9.89653e-06
34,9.774702499695719e-06,0.0024628593,9.7747015e-06
35,9.66160266738248e-06,0.0024483432,9.6616095e-06
36,9.548237675663482e-06,0.0024338588,9.548231e-06
37,9.458151170448787e-06,0.0024227148,9.458148e-06
38,9.35637424776395e-06,0.0024098256,9.356367e-06
39,9.259789275108856e-06,0.0023972641,9.25978e-06
40,9.157840269939343e-06,0.0023840081,9.157856e-06
41,9.07283118716142e-06,0.002372982,9.072832e-06
42,8.994997065670743e-06,0.0023632299,8.994985e-06
43,8.906343471931114e-06,0.0023512575,8.906354e-06
44,8.833515757670216e-06,0.0023417638,8.833508e-06
45,8.746992249660053e-06,0.002330458,8.746984e-06
46,8.675155504688113e-06,0.002321147,8.67517e-06
47,8.599341712662503e-06,0.002310905,8.59934e-06
48,8.523344449333484e-06,0.0023005707,8.523336e-06
49,8.454019862676437e-06,0.0022913448,8.454009e-06
50,8.39371118878949e-06,0.0022830036,8.393709e-06
51,8.320157264924177e-06,0.0022731945,8.32016e-06
52,8.246815977216624e-06,0.0022630652,8.246823e-06
53,8.181808100080006e-06,0.0022539948,8.181805e-06
54,8.113965954766742e-06,0.0022448022,8.113969e-06
55,8.050994836443875e-06,0.0022361407,8.050992e-06
56,7.992533992137183e-06,0.0022282924,7.992528e-06
57,7.936842477742439e-06,0.0022205263,7.936849e-06
58,7.871729916042823e-06,0.0022114269,7.871719e-06
59,7.82022531678438e-06,0.0022043507,7.8202365e-06
60,7.763508330302207e-06,0.0021965592,7.7634995e-06
61,7.713562065215731e-06,0.002189657,7.713563e-06
62,7.640811259167555e-06,0.0021793623,7.640801e-06
63,7.607681962767414e-06,0.0021748175,7.607679e-06
64,7.5489213370595384e-06,0.002166212,7.5489183e-06
65,7.502432247565086e-06,0.002159783,7.5024295e-06
66,7.456678420989194e-06,0.0021531223,7.456676e-06
67,7.402300124277222e-06,0.0021449144,7.4022964e-06
68,7.35464806291915e-06,0.0021381574,7.354661e-06
69,7.310927882636684e-06,0.0021318984,7.3109277e-06
70,7.276954171881806e-06,0.0021268933,7.276965e-06
71,7.226510294577855e-06,0.0021194653,7.226511e-06
72,7.181632190026327e-06,0.0021127735,7.181637e-06
73,7.1395520113868695e-06,0.0021067897,7.1395584e-06
74,7.108277852163296e-06,0.0021022852,7.1082864e-06
75,7.064683427537448e-06,0.002095992,7.0646847e-06
76,7.026723427756657e-06,0.0020901882,7.026725e-06
77,6.995885900585088e-06,0.0020855663,6.9958783e-06
78,6.95559070831861e-06,0.0020797108,6.9555945e-06
79,6.916296689906423e-06,0.0020737946,6.9163007e-06
80,6.88449549516659e-06,0.0020690325,6.8844906e-06
81,6.851113055729298e-06,0.0020640334,6.8511176e-06
82,6.835586730019351e-06,0.0020614776,6.8355844e-06
83,6.787696477693017e-06,0.0020541754,6.787697e-06
84,6.769319264638656e-06,0.002051346,6.769319e-06
85,6.7387834518270565e-06,0.0020465232,6.7387864e-06
86,6.710470030056984e-06,0.0020422647,6.7104775e-06
87,6.658520196567281e-06,0.0020343945,6.6585108e-06
88,6.65217064518838e-06,0.0020334278,6.652184e-06
89,6.610503913493591e-06,0.002027092,6.6105154e-06
90,6.5807623114143515e-06,0.0020224624,6.580776e-06
91,6.569760272680231e-06,0.0020205723,6.5697536e-06
92,6.511887869342119e-06,0.002011908,6.511883e-06
93,6.487197095386927e-06,0.0020081368,6.487211e-06
94,6.467242185846081e-06,0.002004669,6.4672436e-06
95,6.464209039232011e-06,0.0020042206,6.4641968e-06
96,6.427716704071392e-06,0.0019984352,6.4277183e-06
97,6.38063502848554e-06,0.0019914235,6.38064e-06
98,6.349405990553793e-06,0.0019864605,6.3494176e-06
99,6.3292455030975535e-06,0.0019831774,6.3292428e-06
