epoch,loss,mae,mse
0,0.000869843608669471,0.018818695,0.00086984306
1,0.00020320430065854452,0.010980707,0.00020320433
2,0.00015635544000193477,0.009594032,0.00015635577
3,0.00013517537318286487,0.008874545,0.00013517535
4,0.00012249589344370178,0.008415832,0.00012249603
5,0.00011431918877293355,0.008118799,0.00011431947
6,0.000107722178233671,0.007868218,0.000107722284
7,0.000102494206817355,0.0076559405,0.00010249405
8,9.86095526634017e-05,0.007505684,9.860959e-05
9,9.450646296550985e-05,0.0073449966,9.450639e-05
10,9.133341665321496e-05,0.007220762,9.133361e-05
11,8.859979311993812e-05,0.00710972,8.859971e-05
12,8.616585059440695e-05,0.0070077674,8.6165855e-05
13,8.37380577926524e-05,0.0069055287,8.373798e-05
14,8.216342885396443e-05,0.006846684,8.216321e-05
15,8.010887002281379e-05,0.0067598885,8.010883e-05
16,7.85669603216229e-05,0.0066940263,7.856694e-05
17,7.702791118586902e-05,0.006627416,7.702799e-05
18,7.566864574153442e-05,0.0065677827,7.566851e-05
19,7.46399530232884e-05,0.006524501,7.463997e-05
20,7.336430835071951e-05,0.006469183,7.336433e-05
21,7.237816460023168e-05,0.0064269067,7.2378236e-05
22,7.132151775353123e-05,0.006382191,7.132163e-05
23,7.013712994230446e-05,0.006328047,7.013722e-05
24,6.91959751577815e-05,0.0062865373,6.919602e-05
25,6.844089568185154e-05,0.0062562986,6.844084e-05
26,6.75726091209799e-05,0.00621516,6.757255e-05
27,6.669089638977312e-05,0.006173275,6.6690955e-05
28,6.621170995058491e-05,0.0061548315,6.6211636e-05
29,6.556117600644938e-05,0.0061271987,6.556104e-05
30,6.475107033504174e-05,0.0060887556,6.475101e-05
31,6.432600577594712e-05,0.006071802,6.432597e-05
32,6.383980075828731e-05,0.0060450207,6.383978e-05
33,6.317556994210462e-05,0.006019362,6.3175656e-05
34,6.26290576637257e-05,0.0059920624,6.262901e-05
35,6.210634729999583e-05,0.005965755,6.210642e-05
36,6.183992290054448e-05,0.005951604,6.183997e-05
37,6.1421443533618e-05,0.0059321593,6.142144e-05
38,6.100711684091948e-05,0.005913418,6.1007086e-05
39,6.0417991277645344e-05,0.0058824243,6.0418068e-05
40,6.013200320478063e-05,0.0058674035,6.0132028e-05
41,5.981656317308079e-05,0.0058551496,5.9816528e-05
42,5.937262763734907e-05,0.0058321096,5.9372716e-05
43,5.901329921849538e-05,0.005814834,5.9013328e-05
44,5.864413402538048e-05,0.0057980465,5.8644157e-05
45,5.818229113065172e-05,0.0057736114,5.8182362e-05
46,5.793920370633714e-05,0.0057597077,5.7939153e-05
47,5.7616963363834654e-05,0.0057474817,5.7616926e-05
48,5.7510572976316326e-05,0.005737134,5.7510562e-05
49,5.717627972975606e-05,0.0057206126,5.7176185e-05
50,5.6670568279223515e-05,0.005700488,5.6670695e-05
51,5.665667517692782e-05,0.005694179,5.6656565e-05
52,5.6342702642723454e-05,0.005681424,5.6342615e-05
53,5.600312769267475e-05,0.005659273,5.600308e-05
54,5.5633262926130555e-05,0.0056414143,5.563334e-05
55,5.529140282655135e-05,0.0056307465,5.5291413e-05
56,5.533428536145948e-05,0.0056262226,5.533433e-05
57,5.5046411913936026e-05,0.005612842,5.5046457e-05
58,5.468283831927693e-05,0.0055909064,5.4682714e-05
59,5.4474275183165447e-05,0.0055793994,5.4474287e-05
60,5.416816883720457e-05,0.005561611,5.4168187e-05
61,5.4192594858759546e-05,0.0055638067,5.419256e-05
62,5.3762953377736265e-05,0.0055449996,5.3762902e-05
63,5.3640548514085824e-05,0.005534061,5.364053e-05
64,5.320423192490125e-05,0.0055135107,5.3204178e-05
65,5.3072282853536304e-05,0.0055082226,5.307233e-05
66,5.2971979283902326e-05,0.0054982062,5.2972e-05
67,5.275576465617633e-05,0.0054857368,5.2755833e-05
68,5.252020736748818e-05,0.005475745,5.252018e-05
69,5.2158777104341425e-05,0.005458147,5.2158834e-05
70,5.212289325805614e-05,0.0054527675,5.212294e-05
71,5.1973575480515135e-05,0.005443836,5.197361e-05
72,5.168688047851901e-05,0.0054291906,5.168688e-05
73,5.156247615261236e-05,0.0054222657,5.1562456e-05
74,5.1443205320683776e-05,0.005415902,5.1443196e-05
75,5.1292987791530323e-05,0.005407793,5.1292864e-05
