epoch,loss,mae,mse
0,0.00026707567371602635,0.0070492113,0.00026707555
1,4.77964837916079e-05,0.00496234,4.77964e-05
2,4.3518021559575576e-05,0.0047047194,4.3517986e-05
3,4.058071694598766e-05,0.004539328,4.0580737e-05
4,3.776428656477947e-05,0.004370341,3.7764345e-05
5,3.567854055261705e-05,0.004249104,3.567853e-05
6,3.403585989479325e-05,0.004156484,3.4035846e-05
7,3.2883595828898254e-05,0.004092316,3.2883574e-05
8,3.202943555690581e-05,0.004044234,3.2029453e-05
9,3.122458861311316e-05,0.0039958544,3.1224583e-05
10,3.056657777706278e-05,0.0039550313,3.0566534e-05
11,2.991348108538659e-05,0.0039136065,2.9913468e-05
12,2.941352280744468e-05,0.003881149,2.9413464e-05
13,2.9015375963790576e-05,0.0038539534,2.9015337e-05
14,2.862615200720029e-05,0.0038283216,2.8626158e-05
15,2.8260787252511364e-05,0.0038024134,2.8260753e-05
16,2.7919809329760028e-05,0.003777583,2.791986e-05
17,2.757717727974523e-05,0.003751643,2.7577213e-05
18,2.7231781874725128e-05,0.0037250419,2.7231767e-05
19,2.690887465432752e-05,0.0037010997,2.6908903e-05
20,2.6564280549500835e-05,0.0036745993,2.6564298e-05
21,2.6225133926782293e-05,0.0036496222,2.6225114e-05
22,2.5904730523616308e-05,0.0036246448,2.5904716e-05
23,2.5604204749397467e-05,0.0036020444,2.5604239e-05
24,2.534168530983152e-05,0.0035812245,2.534171e-05
25,2.5110420262644765e-05,0.0035624136,2.5110376e-05
26,2.4911190413258738e-05,0.003546608,2.4911225e-05
27,2.4726153865776724e-05,0.0035311428,2.4726176e-05
28,2.4547760924760952e-05,0.0035152226,2.4547759e-05
29,2.4366888356453273e-05,0.0035009151,2.4366904e-05
30,2.4219492546690164e-05,0.0034884994,2.4219513e-05
31,2.40801739381277e-05,0.0034763473,2.4080131e-05
32,2.3937926022626924e-05,0.003463569,2.3937955e-05
33,2.381900842723553e-05,0.0034537318,2.381903e-05
34,2.370913048813236e-05,0.0034445117,2.3709123e-05
35,2.3584388229210163e-05,0.0034337558,2.3584364e-05
36,2.3485866205446654e-05,0.0034248556,2.348587e-05
37,2.3392955337767488e-05,0.0034167024,2.339299e-05
38,2.3287266440456733e-05,0.0034072162,2.3287299e-05
39,2.3195445202291012e-05,0.0033995123,2.3195478e-05
40,2.3111849374108715e-05,0.0033920978,2.311187e-05
41,2.3028687566984444e-05,0.003384548,2.3028615e-05
42,2.2940310863486957e-05,0.003377247,2.2940263e-05
43,2.2875008583359887e-05,0.0033714466,2.287504e-05
44,2.2801518347987438e-05,0.0033645986,2.280148e-05
45,2.2732046819874087e-05,0.0033588165,2.2731998e-05
46,2.266404931608122e-05,0.0033528048,2.2664077e-05
47,2.2609416309423976e-05,0.0033478967,2.2609407e-05
48,2.2536472414212766e-05,0.0033406604,2.2536458e-05
49,2.2485920931067085e-05,0.0033363665,2.248587e-05
50,2.2425944145797984e-05,0.0033310151,2.242591e-05
51,2.2366602346301078e-05,0.003325757,2.2366581e-05
52,2.2322041785228066e-05,0.0033217499,2.2322038e-05
53,2.227020790029201e-05,0.0033173116,2.2270202e-05
54,2.2214037535595706e-05,0.003312019,2.221406e-05
55,2.2173999228398316e-05,0.0033081882,2.2174012e-05
56,2.2117610675049945e-05,0.003303018,2.2117598e-05
57,2.20779414496792e-05,0.0032993804,2.207795e-05
58,2.2035955933097286e-05,0.0032959678,2.2035989e-05
59,2.1990251993847777e-05,0.0032911156,2.1990216e-05
60,2.1952704813738818e-05,0.0032874825,2.1952705e-05
61,2.1912114489095985e-05,0.0032843335,2.1912132e-05
62,2.1877691975969357e-05,0.003280621,2.1877668e-05
63,2.183869622502243e-05,0.0032769258,2.1838647e-05
64,2.1803942053229547e-05,0.0032737507,2.1803915e-05
65,2.176813173806295e-05,0.0032707169,2.1768159e-05
66,2.1736534802912503e-05,0.0032670996,2.1736512e-05
67,2.1698838553274983e-05,0.0032638991,2.1698832e-05
68,2.1674392765562515e-05,0.0032612472,2.167444e-05
69,2.1641662402253134e-05,0.0032587727,2.1641634e-05
70,2.1609573329042176e-05,0.0032551133,2.1609556e-05
71,2.1569286958110753e-05,0.003251828,2.1569309e-05
72,2.1549512941710418e-05,0.0032497372,2.1549491e-05
73,2.1522084437310695e-05,0.0032466473,2.152208e-05
74,2.149329696287168e-05,0.0032439486,2.1493268e-05
75,2.1464106946077665e-05,0.0032408566,2.1464071e-05
