epoch,loss,mae,mse
0,0.00029156312866835006,0.007514841,0.000291563
1,5.501698283219919e-05,0.005449883,5.501692e-05
2,4.635055442959332e-05,0.005017554,4.6350484e-05
3,4.186447932740943e-05,0.004757028,4.1864547e-05
4,3.9616761298160324e-05,0.004612715,3.961671e-05
5,3.841515181569413e-05,0.00452857,3.8415164e-05
6,3.7709312115698766e-05,0.004475982,3.770933e-05
7,3.714656979554346e-05,0.0044322093,3.7146543e-05
8,3.6663567889167106e-05,0.004392864,3.6663496e-05
9,3.6211093206047456e-05,0.004356992,3.6211106e-05
10,3.5811826861803995e-05,0.0043258397,3.5811838e-05
11,3.54820657435435e-05,0.004299105,3.5482055e-05
12,3.5178266852215266e-05,0.0042732866,3.5178382e-05
13,3.4899221076360823e-05,0.0042509334,3.4899233e-05
14,3.465508588585555e-05,0.0042296005,3.4655084e-05
15,3.44200965956116e-05,0.004209343,3.442011e-05
16,3.4189914072614726e-05,0.0041894084,3.4189994e-05
17,3.400758228249144e-05,0.004174202,3.400761e-05
18,3.3828530047270976e-05,0.004159256,3.382852e-05
19,3.366042792135888e-05,0.0041452413,3.3660468e-05
20,3.353044735969627e-05,0.0041342718,3.3530403e-05
21,3.340353213460494e-05,0.0041243434,3.3403532e-05
22,3.3275141488326097e-05,0.0041132094,3.327511e-05
23,3.3147450111291e-05,0.004102405,3.314746e-05
24,3.303576568091521e-05,0.0040929564,3.3035856e-05
