epoch,loss,mae,mse
0,0.0002661789266837877,0.0073709856,0.000266179
1,4.83991665521171e-05,0.0050692772,4.839902e-05
2,4.4201992678281385e-05,0.004840088,4.420198e-05
3,4.168647066981066e-05,0.00469192,4.16865e-05
4,3.996532313380158e-05,0.004582342,3.9965245e-05
5,3.870527704391861e-05,0.0044957334,3.870527e-05
6,3.779655388876563e-05,0.0044303606,3.7796523e-05
7,3.713263420708245e-05,0.0043801167,3.713272e-05
8,3.660552292581997e-05,0.0043380973,3.6605517e-05
9,3.622299787966767e-05,0.0043073352,3.6222995e-05
10,3.591072330338648e-05,0.0042813597,3.591072e-05
11,3.5648981324920895e-05,0.0042591146,3.564895e-05
12,3.544757295632735e-05,0.0042421594,3.544757e-05
13,3.524164760834537e-05,0.004224114,3.5241635e-05
14,3.504788265010575e-05,0.004207793,3.5047902e-05
15,3.48601602781855e-05,0.0041916487,3.4860135e-05
16,3.469084374184604e-05,0.004177268,3.4690915e-05
17,3.452672212952166e-05,0.004163026,3.452673e-05
18,3.436523476528237e-05,0.0041490034,3.4365235e-05
19,3.4197516301646826e-05,0.0041349786,3.4197543e-05
20,3.404995531964232e-05,0.0041239522,3.4049986e-05
21,3.3891253179172056e-05,0.004111862,3.3891247e-05
22,3.3730510529712774e-05,0.004100081,3.373056e-05
23,3.35495008493308e-05,0.004086627,3.3549535e-05
24,3.336852645341423e-05,0.0040738555,3.3368546e-05
