epoch,loss,mae,mse
0,0.0002963608723767699,0.0071153454,0.0002963608
1,4.4739899817997775e-05,0.0048048273,4.473997e-05
2,4.092690266949113e-05,0.004570087,4.0926952e-05
3,3.835389026786494e-05,0.0044110273,3.83539e-05
4,3.649184398954016e-05,0.00430215,3.649183e-05
5,3.51977175837978e-05,0.004230766,3.5197685e-05
6,3.395395582857138e-05,0.0041564526,3.3953962e-05
7,3.3031193825885215e-05,0.004100851,3.303119e-05
8,3.22164460070459e-05,0.0040517827,3.2216478e-05
9,3.156919960603478e-05,0.0040151947,3.156925e-05
10,3.096385099287673e-05,0.0039771185,3.0963853e-05
11,3.0475392641413285e-05,0.003945424,3.047538e-05
12,3.0059799129652996e-05,0.0039166315,3.0059837e-05
13,2.9680794547232597e-05,0.00389058,2.9680856e-05
14,2.931754140612456e-05,0.0038649377,2.9317554e-05
15,2.895347295397893e-05,0.003839948,2.8953407e-05
16,2.8554541936130457e-05,0.0038115596,2.8554534e-05
17,2.8172101502202802e-05,0.0037840635,2.8172095e-05
18,2.7811807575303893e-05,0.0037593464,2.7811808e-05
19,2.7444168518505303e-05,0.0037330643,2.7444088e-05
20,2.70991950300346e-05,0.003707682,2.7099202e-05
21,2.674323583526115e-05,0.0036820583,2.6743266e-05
22,2.6429799194462505e-05,0.0036584903,2.642979e-05
23,2.6146869695149214e-05,0.0036365783,2.6146912e-05
24,2.5880845201031508e-05,0.003614838,2.5880827e-05
