epoch,loss,mae,mse
0,0.0031156273109028284,0.029105473,0.0031156268
1,0.0002467346963866684,0.01236275,0.00024673512
2,0.0001260116621788406,0.008764296,0.00012601164
3,6.819769443672636e-05,0.0064330064,6.819774e-05
4,4.7982666051582305e-05,0.0053947275,4.798268e-05
5,3.8239177279172175e-05,0.0048334342,3.8239134e-05
6,3.220846048308166e-05,0.0044343886,3.220842e-05
7,2.8541537552282997e-05,0.004162351,2.8541575e-05
8,2.647749274710778e-05,0.004006928,2.6477459e-05
9,2.3958983523456928e-05,0.0038086597,2.39589e-05
10,2.2274759248871683e-05,0.003670457,2.2274739e-05
11,2.1000168778713182e-05,0.003562224,2.1000165e-05
12,1.9818344372206074e-05,0.003462345,1.9818317e-05
13,1.8817081506478053e-05,0.003381592,1.8817089e-05
14,1.799755331585054e-05,0.0033123044,1.799753e-05
15,1.7557373061609255e-05,0.003278838,1.755736e-05
16,1.6744735787921867e-05,0.0032028053,1.6744754e-05
17,1.626522582738586e-05,0.003153767,1.6265238e-05
18,1.5818858905375757e-05,0.0031120828,1.5818832e-05
19,1.5363094194710112e-05,0.0030676574,1.5363064e-05
20,1.4963024659900733e-05,0.0030256729,1.4963051e-05
21,1.4590197876775562e-05,0.0029875226,1.4590203e-05
22,1.4232594878760572e-05,0.0029495056,1.4232563e-05
23,1.3916619644978301e-05,0.0029135933,1.3916606e-05
24,1.3608186720546352e-05,0.002880909,1.3608201e-05
