epoch,loss,mae,mse
0,0.07177544374556918,0.1833563,0.07177546
1,0.0015057177492688787,0.027669596,0.001505717
2,0.0003624066210155547,0.013997086,0.0003624061
3,0.00016887527848437656,0.009598519,0.00016887517
4,0.00010317863336214402,0.0075695347,0.00010317874
5,7.532500668309975e-05,0.00651954,7.532497e-05
6,6.024665502838704e-05,0.005854573,6.024655e-05
7,5.0565907077625286e-05,0.0053790775,5.0565894e-05
8,4.3780096778314953e-05,0.005017379,4.3780128e-05
9,3.885883508196347e-05,0.0047388338,3.8858874e-05
10,3.509465147212576e-05,0.0045130905,3.5094665e-05
11,3.2120490271881765e-05,0.0043248828,3.212044e-05
12,2.9697397045244407e-05,0.004165563,2.9697376e-05
13,2.770692051209483e-05,0.00402955,2.7706928e-05
14,2.6034201448105554e-05,0.003911569,2.6034237e-05
15,2.4613221096969075e-05,0.0038085387,2.4613175e-05
16,2.338598610403914e-05,0.003717335,2.3385952e-05
17,2.2306117850409942e-05,0.003634708,2.2306143e-05
18,2.1353135089251716e-05,0.0035593954,2.135315e-05
19,2.0506682425642417e-05,0.0034908599,2.05067e-05
20,1.9750934423729733e-05,0.0034282343,1.9750925e-05
21,1.906988419453248e-05,0.0033707072,1.9069908e-05
22,1.8449076978457272e-05,0.0033172679,1.8449065e-05
23,1.7884245417198736e-05,0.0032676565,1.7884233e-05
24,1.7366011892745668e-05,0.0032214508,1.7366017e-05
