epoch,loss,mae,mse
0,0.10907006225320681,0.28699136,0.109070055
1,0.10448402091431606,0.280776,0.10448416
2,0.09178243817509543,0.26230785,0.09178249
3,0.07464016205081873,0.23412213,0.07463977
4,0.05848649911118483,0.2040721,0.05848646
5,0.04320875456883156,0.17306867,0.04320874
6,0.028610149698208635,0.13912487,0.02861019
7,0.016578371353101022,0.103172354,0.016578367
8,0.007997897195066259,0.06894889,0.007997878
9,0.0031907471994238124,0.0429627,0.0031907521
10,0.002097797839209012,0.034649387,0.0020977985
11,0.0018058657435658413,0.03178279,0.0018058659
12,0.0016413323634028114,0.029935101,0.0016413295
13,0.0015437824374081538,0.028731486,0.0015437851
14,0.0014809375252388887,0.027907932,0.0014809394
15,0.0014353503676627641,0.027289398,0.0014353497
16,0.0013986204909396838,0.02678278,0.0013986242
17,0.0013668781745101082,0.026340488,0.0013668786
18,0.0013383124820963513,0.02593866,0.0013383158
19,0.0013120224378975205,0.025564332,0.0013120205
20,0.0012875192695270688,0.025210544,0.0012875188
21,0.001264508653883804,0.024873387,0.0012645088
22,0.0012427964545200655,0.024549989,0.0012427933
23,0.0012222475128959344,0.024238823,0.0012222469
24,0.001202763049280434,0.023938622,0.0012027647
