epoch,loss,mae,mse
0,0.0002742914477507912,0.006900487,0.00027429187
1,4.467798089748512e-05,0.0048511503,4.4677894e-05
2,4.203105433592802e-05,0.004680547,4.2031046e-05
3,4.031892116830132e-05,0.004569598,4.0318893e-05
4,3.9068093172494635e-05,0.0044868123,3.9068054e-05
5,3.8001373173882655e-05,0.0044163894,3.8001308e-05
6,3.7075973694966594e-05,0.0043556057,3.7076e-05
7,3.6312663102546316e-05,0.004306554,3.6312664e-05
8,3.5464074507441244e-05,0.004249647,3.546409e-05
9,3.4774315962335014e-05,0.004207862,3.477429e-05
10,3.407965618446817e-05,0.004165981,3.407963e-05
11,3.345803772980787e-05,0.004130126,3.3458047e-05
12,3.2894534786659205e-05,0.004097055,3.2894615e-05
13,3.237554656217175e-05,0.0040633418,3.2375527e-05
14,3.186466672777643e-05,0.0040303255,3.1864645e-05
15,3.138972815650319e-05,0.003999415,3.1389813e-05
16,3.094917766464819e-05,0.0039691506,3.0949213e-05
17,3.057857999236043e-05,0.003945197,3.0578547e-05
18,3.0236709897955564e-05,0.0039229826,3.0236713e-05
19,2.989717394101965e-05,0.0039001135,2.9897154e-05
20,2.9615371743221428e-05,0.0038815702,2.9615343e-05
21,2.9333961524356102e-05,0.003861924,2.9334014e-05
22,2.9083067738215982e-05,0.0038436938,2.9083058e-05
23,2.884293893502685e-05,0.0038255479,2.8842913e-05
24,2.8628556914795334e-05,0.0038096504,2.8628552e-05
