epoch,loss,mae,mse
0,0.0002885608976642834,0.0068644076,0.00028856113
1,4.6529387853224765e-05,0.0048950515,4.6529454e-05
2,4.357314614171628e-05,0.004728978,4.357317e-05
3,4.14658262298326e-05,0.0046078316,4.1465744e-05
4,3.955006793665234e-05,0.0044957786,3.955009e-05
5,3.799682265773299e-05,0.0044043446,3.799679e-05
6,3.661627985784435e-05,0.0043222285,3.661626e-05
7,3.548271612613462e-05,0.004254146,3.548273e-05
8,3.451153180998517e-05,0.0041944673,3.451153e-05
9,3.3693131871696096e-05,0.004144799,3.3693155e-05
10,3.2878945799602664e-05,0.0040936638,3.2878917e-05
11,3.210708660451928e-05,0.004044438,3.2107044e-05
12,3.143146409318433e-05,0.0039995033,3.143151e-05
13,3.0858314029610484e-05,0.003961668,3.0858297e-05
14,3.0331366954778787e-05,0.0039257,3.0331326e-05
15,2.9816929320950293e-05,0.0038909442,2.981691e-05
16,2.938762553720153e-05,0.0038620352,2.9387686e-05
17,2.898596219107276e-05,0.003834512,2.8985953e-05
18,2.8480614572763443e-05,0.0038019686,2.8480676e-05
19,2.8086124263936653e-05,0.0037736136,2.8086182e-05
20,2.774235065924586e-05,0.0037483526,2.7742304e-05
21,2.7434588251198876e-05,0.0037250698,2.7434586e-05
22,2.715286669874331e-05,0.0037037206,2.7152879e-05
23,2.690095900412416e-05,0.003684496,2.6900976e-05
24,2.6685328129242408e-05,0.0036690454,2.6685295e-05
