epoch,loss,mae,mse
0,0.0003771494187609642,0.0077275415,0.00037714985
1,4.9542259219451806e-05,0.004978856,4.9542283e-05
2,4.616236636065878e-05,0.0048012636,4.616246e-05
3,4.3842761184059785e-05,0.0046769925,4.3842792e-05
4,4.203351017757086e-05,0.0045773196,4.2033393e-05
5,4.053821610024897e-05,0.004497818,4.053816e-05
6,3.915568896569312e-05,0.004423417,3.9155646e-05
7,3.791157882369589e-05,0.004355689,3.7911606e-05
8,3.67495849711122e-05,0.004291528,3.674957e-05
9,3.573108374461299e-05,0.0042361943,3.573109e-05
10,3.4766969350748696e-05,0.0041818395,3.4766952e-05
11,3.390885203916696e-05,0.0041342503,3.3908884e-05
12,3.313137608842226e-05,0.0040914207,3.3131306e-05
13,3.2466804618889004e-05,0.004054851,3.2466854e-05
14,3.188944011562853e-05,0.0040224427,3.1889413e-05
15,3.1374634925741704e-05,0.0039938902,3.1374613e-05
16,3.088052572711604e-05,0.003963881,3.088049e-05
17,3.0482351120153908e-05,0.003940257,3.0482388e-05
18,3.008996454635053e-05,0.0039177095,3.0089926e-05
19,2.970904933215934e-05,0.0038960758,2.9709092e-05
20,2.9408978376013693e-05,0.0038773422,2.9409004e-05
21,2.914970878540771e-05,0.0038603419,2.9149724e-05
22,2.890313583513489e-05,0.0038435685,2.8903143e-05
23,2.8682704836537596e-05,0.0038286608,2.868265e-05
24,2.8492162181792082e-05,0.0038162621,2.8492177e-05
