epoch,loss,mae,mse
0,0.0017791550971473665,0.01596542,0.0017791565
1,0.00013652175335696981,0.008972802,0.00013652205
2,9.436768222688188e-05,0.007500092,9.436759e-05
3,7.406159387437193e-05,0.0064333053,7.406158e-05
4,6.177797924947082e-05,0.006026364,6.177797e-05
5,5.422530802305843e-05,0.0056526437,5.4225296e-05
6,4.811355715901865e-05,0.005334606,4.8113503e-05
7,4.284248310337534e-05,0.0050542904,4.2842465e-05
8,3.9850750965963865e-05,0.004903083,3.985069e-05
9,3.700672169889385e-05,0.00471971,3.700679e-05
10,3.447486143757856e-05,0.004571292,3.44749e-05
11,3.234232895590856e-05,0.0044153067,3.2342323e-05
12,3.0747279109356716e-05,0.0043171495,3.0747295e-05
13,2.9591931443043587e-05,0.004218651,2.959198e-05
14,2.7510233420080755e-05,0.0040754527,2.7510232e-05
15,2.6632618359863014e-05,0.0040083705,2.6632597e-05
16,2.5436341884599324e-05,0.003922027,2.5436324e-05
17,2.465967518925651e-05,0.0038595272,2.4659714e-05
18,2.336873143919539e-05,0.0037646606,2.3368706e-05
19,2.271986710221396e-05,0.003715932,2.2719873e-05
20,2.1896354400283905e-05,0.0036534376,2.1896381e-05
21,2.1177416534206734e-05,0.0035951273,2.1177439e-05
22,2.061841376924161e-05,0.0035428468,2.061843e-05
23,1.9782850627522817e-05,0.0034770938,1.9782856e-05
24,1.9500408262459182e-05,0.0034579267,1.9500389e-05
