epoch,loss,mae,mse
0,0.0024641687868046562,0.027586494,0.0024641654
1,0.00023327726009408515,0.011722766,0.0002332771
2,9.144733700054174e-05,0.007332572,9.144743e-05
3,6.835852183411096e-05,0.00632666,6.83586e-05
4,5.637644277433772e-05,0.005750537,5.6376502e-05
5,4.8990138028145496e-05,0.005428942,4.899016e-05
6,4.3532645831833626e-05,0.00510331,4.3532527e-05
7,3.845611891923981e-05,0.004826245,3.8456106e-05
8,3.556877352907518e-05,0.0046217036,3.5568784e-05
9,3.269935242380824e-05,0.0044385106,3.2699274e-05
10,3.047643365085617e-05,0.0042670667,3.0476458e-05
11,2.8720212535461127e-05,0.004154529,2.8720098e-05
12,2.664201528032412e-05,0.0040188474,2.6641988e-05
13,2.531328081959882e-05,0.003922227,2.531324e-05
14,2.4388690056412264e-05,0.0038232412,2.4388708e-05
15,2.3018140891568044e-05,0.003746943,2.3018147e-05
16,2.2115173055525277e-05,0.0036742648,2.211511e-05
17,2.1740588364714576e-05,0.0036324582,2.1740567e-05
18,2.0915509048762726e-05,0.0035741155,2.0915482e-05
19,2.022050052136226e-05,0.0035160948,2.022048e-05
20,1.9842995001631347e-05,0.0034818193,1.9842999e-05
21,1.9800884151978597e-05,0.0034615996,1.9800893e-05
22,1.967423001175728e-05,0.003432764,1.9674233e-05
23,1.878041865776592e-05,0.0033855014,1.8780416e-05
24,1.8445350401116282e-05,0.0033434245,1.84453e-05
