epoch,loss,mae,mse
0,0.0010142545541897807,0.0123473685,0.0010142542
1,4.5577708666297405e-05,0.0049268436,4.5577715e-05
2,4.154576819587556e-05,0.0046888655,4.1545813e-05
3,3.9976516495772446e-05,0.0045846677,3.9976523e-05
4,3.916739926333537e-05,0.0045305192,3.9167342e-05
5,3.850325724535464e-05,0.0044820076,3.8503276e-05
6,3.8036634022698126e-05,0.0044478285,3.8036636e-05
7,3.7517671532426177e-05,0.0044066636,3.7517613e-05
8,3.727850477931986e-05,0.004390955,3.7278493e-05
9,3.6915649354846486e-05,0.0043620327,3.6915593e-05
10,3.658099688025405e-05,0.0043366007,3.6580976e-05
11,3.6317792779934634e-05,0.0043166876,3.6317815e-05
12,3.609223867670612e-05,0.0042988034,3.6092195e-05
13,3.585370479568809e-05,0.0042806463,3.585373e-05
14,3.5613941267733976e-05,0.004262107,3.5613954e-05
15,3.554713856323606e-05,0.0042595565,3.5547124e-05
16,3.530282311794514e-05,0.004239618,3.5302863e-05
17,3.521997995224775e-05,0.0042341244,3.5219964e-05
18,3.509667621285857e-05,0.004224311,3.509669e-05
19,3.490191375150517e-05,0.0042077308,3.4901863e-05
20,3.47637208013395e-05,0.0041965637,3.476373e-05
21,3.465486407906774e-05,0.0041875374,3.465486e-05
22,3.452076556614487e-05,0.0041769147,3.452076e-05
23,3.440220214440671e-05,0.0041672946,3.4402183e-05
24,3.4315297725655144e-05,0.0041604033,3.4315322e-05
25,3.414577008088803e-05,0.004146205,3.4145818e-05
26,3.404853398421664e-05,0.0041374895,3.4048535e-05
27,3.3952779597729325e-05,0.0041302876,3.3952776e-05
28,3.3842971372053606e-05,0.004121019,3.384294e-05
29,3.377254589375022e-05,0.0041162353,3.3772678e-05
30,3.366405358374605e-05,0.0041065956,3.3664048e-05
31,3.36265087332645e-05,0.004105211,3.3626537e-05
32,3.354642315426614e-05,0.0040976414,3.354642e-05
33,3.3496966199229896e-05,0.0040939585,3.349691e-05
34,3.342962046642103e-05,0.0040883594,3.3429576e-05
