epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.005052014584270905,0.026756305,0.005052024,9.503148470399544e-05,0.0073526357,9.503442e-05
1,5.6970245000141273e-05,0.0056865225,5.697022e-05,3.747550095460064e-05,0.004777663,3.747582e-05
2,2.7778192844541213e-05,0.0040484727,2.7778195e-05,2.8187860574838688e-05,0.004221759,2.8188086e-05
3,2.0325218216000522e-05,0.0034835679,2.0325193e-05,2.167924319976208e-05,0.0037022934,2.1679398e-05
4,1.6682073587102683e-05,0.0031689196,1.668209e-05,1.4847821997543268e-05,0.0030241085,1.48478575e-05
5,1.4456283234009919e-05,0.0029581327,1.44562655e-05,1.1561533313136633e-05,0.0026486665,1.1561561e-05
6,1.2865560176640949e-05,0.0027953717,1.2865555e-05,1.0077077108100216e-05,0.0024682512,1.0077098e-05
7,1.162324573981875e-05,0.0026597902,1.1623233e-05,9.925958043673906e-06,0.0024538753,9.925925e-06
8,1.0675109850833125e-05,0.002551886,1.0675101e-05,1.1304405429670683e-05,0.0026351823,1.1304358e-05
9,9.949144436936226e-06,0.0024658046,9.949128e-06,1.0319074632275338e-05,0.0025186345,1.0319007e-05
10,9.342938801564743e-06,0.0023900988,9.342927e-06,1.0138105919532036e-05,0.0025046254,1.0138043e-05
11,8.834547074137455e-06,0.002325199,8.834545e-06,1.0368041784337727e-05,0.002536817,1.0367991e-05
12,8.377053077399199e-06,0.0022659178,8.377064e-06,1.0249534725579233e-05,0.002526098,1.0249485e-05
