epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0013944391784960837,0.012397667,0.0013944365,1.871557601015048e-05,0.003258565,1.8714196e-05
1,1.3969340739110651e-05,0.0028412205,1.3969311e-05,1.0355260215678738e-05,0.0025160816,1.0355006e-05
2,8.012787849916744e-06,0.0021952742,8.012793e-06,5.221130780991726e-06,0.0017571474,5.220979e-06
3,6.132470677943534e-06,0.0019291635,6.1324663e-06,4.5241415865137165e-06,0.0016615388,4.5240304e-06
4,5.234832395186199e-06,0.0017875553,5.234833e-06,3.74368942633203e-06,0.001506845,3.7436287e-06
5,4.667330064070743e-06,0.001692059,4.6673304e-06,3.352608989752711e-06,0.0014259354,3.352553e-06
6,4.2747050521263325e-06,0.001621821,4.274699e-06,2.969941318344273e-06,0.0013397217,2.9698854e-06
7,3.985933558350163e-06,0.0015679124,3.9859374e-06,2.8103467417608626e-06,0.0013037125,2.8102888e-06
8,3.762469848557625e-06,0.0015245678,3.7624618e-06,2.5434412122134244e-06,0.001239449,2.5433874e-06
9,3.5770783584095104e-06,0.0014880812,3.577077e-06,2.2844937799309636e-06,0.0011737074,2.2844447e-06
10,3.4207228531366644e-06,0.0014560269,3.4207255e-06,2.205337302389948e-06,0.0011564478,2.2052925e-06
11,3.2763274404091397e-06,0.0014259664,3.276325e-06,2.3698401306775584e-06,0.001208188,2.369807e-06
12,3.140371243259454e-06,0.0013966198,3.1403672e-06,2.7213000085125262e-06,0.0013116217,2.7212839e-06
13,3.016426909650493e-06,0.0013687769,3.0164167e-06,2.7799490430530607e-06,0.0013308836,2.7799429e-06
14,2.9043673348392724e-06,0.00134332,2.9043686e-06,2.9748213347776965e-06,0.0013839881,2.9748267e-06
