epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.00014100882694235354,0.017010674,0.0017039017,1.0463911401626139e-05,0.0076806145,0.00017342706
1,4.9963877841115135e-06,0.005678588,0.00012240498,7.2211535071016e-06,0.006207776,0.00010398949
2,3.1816176827019914e-06,0.0045615425,8.015593e-05,2.5740035548768818e-06,0.0041220095,6.528084e-05
3,2.509864133904297e-06,0.004017769,6.182513e-05,2.0234346839945553e-06,0.003661617,5.2497002e-05
4,2.1200388502568654e-06,0.0036494476,5.1007817e-05,1.621048294138882e-06,0.0032860823,4.37547e-05
5,1.8775331369449433e-06,0.0033988236,4.3887932e-05,1.6659319424514921e-06,0.0032152075,3.870709e-05
6,1.7086553882940538e-06,0.0032078084,3.8374958e-05,1.5149908506955336e-06,0.0030361335,3.3973844e-05
7,1.566080634620448e-06,0.0030482083,3.3955945e-05,1.4558152950635785e-06,0.0029438594,3.071767e-05
8,1.4512491706149635e-06,0.0029209421,3.0584484e-05,1.31749049851374e-06,0.0027993498,2.7676344e-05
9,1.3596886197722467e-06,0.0028123085,2.787916e-05,1.2474828241227491e-06,0.002711157,2.5477593e-05
10,1.2794981756711163e-06,0.002720789,2.5732112e-05,1.1357951932565623e-06,0.0025979516,2.3477887e-05
11,1.2178722888555578e-06,0.0026459233,2.3986264e-05,1.0401080083733203e-06,0.0025035762,2.18785e-05
12,1.1622523461353142e-06,0.0025778573,2.2489849e-05,9.95488259027856e-07,0.0024504522,2.0677777e-05
13,1.1138794165032908e-06,0.0025175777,2.1188609e-05,9.330702878039085e-07,0.0023836086,1.952575e-05
14,1.0696334723096307e-06,0.0024612537,1.9989868e-05,8.717936073218132e-07,0.0023180353,1.8425408e-05
15,1.031779384588195e-06,0.0024096288,1.8893514e-05,8.563355528751792e-07,0.00227953,1.7509781e-05
16,9.960547064500653e-07,0.002362944,1.7894023e-05,8.195195250545912e-07,0.0022306025,1.6494536e-05
17,9.63714054256083e-07,0.0023198356,1.7018594e-05,7.775236462922021e-07,0.0021835882,1.573534e-05
18,9.325811197933425e-07,0.002280052,1.6219565e-05,7.385299085123436e-07,0.0021369162,1.4916997e-05
19,9.076577728462456e-07,0.0022435181,1.5373647e-05,7.215272828143777e-07,0.0021096177,1.4065115e-05
20,8.837596018721732e-07,0.002207602,1.4547524e-05,6.975827631094944e-07,0.0020758058,1.3404818e-05
21,8.610963313549292e-07,0.0021728284,1.3871113e-05,6.91787922976532e-07,0.0020516103,1.2813159e-05
22,8.422501774605605e-07,0.0021417702,1.3293054e-05,6.7446918937724e-07,0.002018827,1.2257018e-05
23,8.232086609496036e-07,0.0021110533,1.2769881e-05,6.621758673703098e-07,0.0019896438,1.1708704e-05
