epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0032308288595026048,0.029147614,0.003230827,0.00014714138685518682,0.008970216,0.00014713894
1,0.00011990135120693595,0.008111936,0.00011990139,0.00010719769610452359,0.0077485847,0.00010719575
2,9.061352127619709e-05,0.006963801,9.0613525e-05,7.759455699716136e-05,0.006291835,7.759322e-05
3,7.809612603547673e-05,0.0064103315,7.809615e-05,6.826937719921566e-05,0.005824337,6.82683e-05
4,7.08088347366235e-05,0.0060633696,7.080888e-05,6.379276505176916e-05,0.005603792,6.379176e-05
5,6.649067330174148e-05,0.005850399,6.649069e-05,6.026855580633862e-05,0.005410309,6.02678e-05
6,6.360772950186705e-05,0.005700738,6.360771e-05,5.85118601431858e-05,0.0053280955,5.851088e-05
7,6.155656141306583e-05,0.0055933665,6.1556595e-05,5.739529226244601e-05,0.005289554,5.7394318e-05
8,5.98624072856425e-05,0.0055047087,5.9862417e-05,5.688875524227879e-05,0.0052884496,5.688773e-05
9,5.854189309640788e-05,0.0054364814,5.8541882e-05,5.625702247412932e-05,0.005268262,5.6256027e-05
10,5.7459963883350916e-05,0.0053800363,5.7459984e-05,5.576000984179447e-05,0.005253969,5.575892e-05
11,5.658287403251355e-05,0.005333744,5.658287e-05,5.477001771100802e-05,0.005199171,5.476902e-05
12,5.589281243039295e-05,0.0052989093,5.5892793e-05,5.3757579051421816e-05,0.005134364,5.3756496e-05
13,5.5269899374883e-05,0.005266599,5.526986e-05,5.2535440892840436e-05,0.0050511244,5.2534484e-05
14,5.4682446135363233e-05,0.0052353987,5.468246e-05,5.1560755066302025e-05,0.004967797,5.1559902e-05
15,5.413717500322188e-05,0.005206175,5.4137217e-05,5.0755142558673204e-05,0.0049081645,5.0754243e-05
16,5.3659759719933694e-05,0.0051803575,5.3659776e-05,5.0070999150389764e-05,0.0048576244,5.0070124e-05
17,5.318905881916483e-05,0.0051542325,5.3189087e-05,4.95363797818856e-05,0.004814883,4.9535414e-05
18,5.276877945521846e-05,0.0051311557,5.2768766e-05,4.8900350433711755e-05,0.0047663706,4.8899536e-05
19,5.240792191082922e-05,0.005111482,5.24079e-05,4.8446981761380976e-05,0.0047320398,4.8446007e-05
20,5.20216949559593e-05,0.0050901957,5.2021744e-05,4.8010790955786086e-05,0.0047033685,4.8009915e-05
21,5.1734516978807124e-05,0.0050755367,5.173449e-05,4.771533581567294e-05,0.004683378,4.7714468e-05
22,5.139669945211305e-05,0.0050563733,5.1396695e-05,4.748137658405147e-05,0.0046737003,4.7480386e-05
23,5.1101760029171906e-05,0.005040812,5.1101775e-05,4.711369948110714e-05,0.0046468703,4.7112728e-05
24,5.080507706850767e-05,0.0050249393,5.0805138e-05,4.680435612973212e-05,0.0046269484,4.6803383e-05
25,5.052017840886644e-05,0.005009298,5.0520186e-05,4.661729708429527e-05,0.004613949,4.6616413e-05
26,5.029049431070841e-05,0.0049976055,5.0290524e-05,4.639989733518668e-05,0.0046031126,4.6399036e-05
27,5.0033030120345454e-05,0.004983283,5.003304e-05,4.629143334720485e-05,0.0045920513,4.629053e-05
28,4.9818499537844524e-05,0.0049727093,4.9818467e-05,4.6114549196996636e-05,0.004581244,4.6113735e-05
29,4.96183083501334e-05,0.0049618576,4.9618367e-05,4.597162123519662e-05,0.0045750015,4.597077e-05
30,4.9385783182224255e-05,0.0049492563,4.938578e-05,4.5660649746617823e-05,0.004552312,4.565979e-05
31,4.920356589485891e-05,0.0049400325,4.920355e-05,4.549056561972027e-05,0.004544616,4.548975e-05
32,4.89922065945575e-05,0.0049288333,4.8992213e-05,4.5231936728965114e-05,0.004530163,4.5231005e-05
33,4.8812414414520996e-05,0.0049194396,4.881245e-05,4.515810737685079e-05,0.0045257644,4.5157158e-05
34,4.8574054803466425e-05,0.0049055424,4.8574035e-05,4.48588849114533e-05,0.004508121,4.4857952e-05
35,4.843422537882968e-05,0.0048987567,4.8434224e-05,4.4791075132756914e-05,0.0045096376,4.479028e-05
36,4.8255782316167215e-05,0.004889311,4.8255755e-05,4.463626141358713e-05,0.0045034667,4.4635395e-05
37,4.810301830216e-05,0.0048816083,4.8103044e-05,4.458095700510792e-05,0.00450313,4.4580065e-05
38,4.793218133311408e-05,0.0048722085,4.7932182e-05,4.4566806062462335e-05,0.0045134122,4.4566033e-05
39,4.7761523251538166e-05,0.0048634135,4.7761518e-05,4.4361287105005505e-05,0.0045011626,4.4360393e-05
40,4.759683874532736e-05,0.004855005,4.7596815e-05,4.4285325933231034e-05,0.0044989865,4.4284425e-05
41,4.743111521025033e-05,0.0048461156,4.7431113e-05,4.423403883884865e-05,0.004499626,4.4233264e-05
42,4.731596122922686e-05,0.0048410357,4.731597e-05,4.40138330449776e-05,0.004492465,4.401294e-05
43,4.713376121110438e-05,0.004831198,4.713376e-05,4.3825726188472306e-05,0.0044810576,4.3824937e-05
44,4.699288070240679e-05,0.004823443,4.6992885e-05,4.3691890107450615e-05,0.004473175,4.3691045e-05
