epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.0001517291225125965,0.027640067,0.002946904,9.123519692105501e-05,0.024878541,0.0012030473
1,4.9525079134228966e-05,0.019839216,0.0009489695,7.765914317890533e-05,0.023638882,0.0011019483
2,4.561017501169582e-05,0.019461261,0.0008992398,7.289838933825148e-05,0.02306199,0.0010478437
3,4.3537641017873026e-05,0.01930107,0.00088074856,6.597425364239087e-05,0.0221862,0.0009960125
4,4.216194297161371e-05,0.019196795,0.00086994044,6.567603470953284e-05,0.022301994,0.0009986316
5,4.1151550210600875e-05,0.019131279,0.0008643238,6.5809346130381e-05,0.02237075,0.0009968292
6,4.0357381164503694e-05,0.01909719,0.0008618534,6.413143148891899e-05,0.02219331,0.0009876977
7,3.9672252313592805e-05,0.019071056,0.00086069276,7.166310082377573e-05,0.023204286,0.0010387646
8,3.912181604410295e-05,0.019093292,0.0008634301,7.324361937865933e-05,0.023639875,0.0010646563
9,3.8613306953999136e-05,0.019111704,0.00086598005,6.894155397776092e-05,0.023187902,0.0010419927
10,3.8170513435845925e-05,0.01914547,0.0008695269,6.441928867901097e-05,0.022701936,0.0010189471
11,3.780477336588368e-05,0.019178854,0.0008728326,6.279970860246206e-05,0.022623997,0.0010189131
12,3.745598814905463e-05,0.019202666,0.00087528036,5.610799281717107e-05,0.021811899,0.0009770945
