epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.00013017865163889004,0.008195528,0.000289769,2.6696929696589648e-05,0.005363723,5.9449827e-05
1,2.4514058903894887e-05,0.005043511,5.4426717e-05,2.222814042860841e-05,0.0046956437,5.0438382e-05
2,2.3436924654311676e-05,0.0049354904,5.1894138e-05,2.2852231680759024e-05,0.0049083936,5.1102346e-05
3,2.2665055908291466e-05,0.0048491587,5.01385e-05,2.1750917479010205e-05,0.0047374787,4.8820457e-05
4,2.2104317891460036e-05,0.004781156,4.8859525e-05,2.1141600764305412e-05,0.0046396186,4.7541238e-05
5,2.1702612910889678e-05,0.004731988,4.7918184e-05,2.0064973302395005e-05,0.0044380776,4.5378973e-05
6,2.1227092720736323e-05,0.004669012,4.684235e-05,1.9752253110387636e-05,0.0044044736,4.453733e-05
7,2.0837233299587643e-05,0.0046160733,4.5944504e-05,1.920706896826646e-05,0.004287468,4.336142e-05
8,2.0527168586741198e-05,0.0045705987,4.5238492e-05,1.910866241452844e-05,0.004281811,4.303446e-05
9,2.0265310721864108e-05,0.00452971,4.464228e-05,1.8807346368151156e-05,0.0042202533,4.2325035e-05
10,2.002774503481339e-05,0.004490496,4.410701e-05,1.8902012131837835e-05,0.0042761895,4.2372318e-05
11,1.9833110140381476e-05,0.004459726,4.3681743e-05,1.9167893321397552e-05,0.004336791,4.2873304e-05
12,1.9672150049851448e-05,0.004431449,4.3320473e-05,1.9198374776362293e-05,0.004349147,4.2838554e-05
13,1.9520447073484617e-05,0.0044064904,4.2985357e-05,1.927560775740864e-05,0.004383149,4.295543e-05
14,1.9395491704876864e-05,0.0043863454,4.2713084e-05,1.9484529119687455e-05,0.0044399523,4.3252858e-05
