epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,6.615009122758305e-05,0.021180904,0.0011598004,4.154033055770206e-05,0.018564172,0.0007966718
1,4.2743945637417574e-05,0.01919852,0.00083256036,3.9586018423541355e-05,0.018128682,0.0007520162
2,4.1072975894100484e-05,0.01897404,0.00080762984,3.9731125103940035e-05,0.018198686,0.0007363642
3,4.01218889372813e-05,0.018840045,0.0007983855,3.7803207088556654e-05,0.01801357,0.000745778
4,3.9512343477903546e-05,0.018753117,0.00079376815,3.881267281264727e-05,0.018153884,0.0007472025
5,3.900389456536753e-05,0.018637264,0.0007865113,3.8167869762147804e-05,0.018081192,0.0007438178
6,3.8546249201450647e-05,0.018495258,0.0007769812,3.7015784771863844e-05,0.01781015,0.0007312614
7,3.808197264378378e-05,0.018303122,0.0007639134,3.638424495658085e-05,0.017486231,0.0007082395
8,3.760610129087049e-05,0.018069636,0.00074764044,3.598140278442312e-05,0.017518831,0.00072047923
9,3.7160935592443664e-05,0.017844075,0.000732581,3.591248851101002e-05,0.017206391,0.00069154194
10,3.669896461560267e-05,0.017633492,0.0007186625,3.5713930187030844e-05,0.016904455,0.000667715
11,3.627825719266228e-05,0.017430555,0.0007046464,3.4769722123251765e-05,0.016740493,0.0006667703
12,3.583902855541787e-05,0.01723618,0.0006912651,3.4555349590242934e-05,0.01665571,0.00066316186
13,3.539622844139713e-05,0.01703997,0.0006776807,3.422469563341072e-05,0.016316283,0.00063482794
14,3.5026790752542696e-05,0.016873453,0.0006662894,3.3829364386668175e-05,0.016094688,0.0006169716
15,3.4671265861461725e-05,0.016695814,0.0006537466,3.353487181294597e-05,0.015950223,0.0006081187
16,3.436489058935322e-05,0.016556144,0.0006438404,3.3091733933777934e-05,0.015780427,0.00059838116
17,3.4073777395882995e-05,0.016425056,0.0006346304,3.323616017969905e-05,0.015594587,0.000581638
18,3.379785255097753e-05,0.016288005,0.00062543416,3.291336834722958e-05,0.01541005,0.0005689124
19,3.3562513243207545e-05,0.016176803,0.00061839615,3.2973206688686244e-05,0.015399064,0.00057156046
20,3.3316603960817546e-05,0.016071158,0.00061181537,3.323411924616892e-05,0.015287554,0.0005619209
21,3.3117319511270247e-05,0.01597208,0.0006051406,3.292787662663009e-05,0.015301757,0.00056483597
22,3.2952059168010456e-05,0.015888749,0.0005998548,3.285779642899319e-05,0.01525917,0.0005613611
23,3.279784326667407e-05,0.015830128,0.0005961116,3.243635033008139e-05,0.015142053,0.0005537481
24,3.270439056993892e-05,0.01576708,0.0005921677,3.2518247612166925e-05,0.015184765,0.0005584686
25,3.255644532478849e-05,0.01571036,0.0005885901,3.266926181697584e-05,0.015366436,0.0005742204
26,3.2452035623508694e-05,0.015672918,0.0005864074,3.241827658247705e-05,0.015201092,0.0005596667
27,3.234369676625292e-05,0.01561537,0.00058272714,3.2655011472186934e-05,0.015338956,0.0005748279
28,3.226345843713938e-05,0.015582469,0.0005807464,3.204012782832569e-05,0.015255561,0.0005684922
29,3.2155389688053154e-05,0.015525894,0.0005774696,3.224378009787815e-05,0.015277589,0.0005708338
30,3.208073953684528e-05,0.015482727,0.00057482143,3.209679208604248e-05,0.015263236,0.0005720351
31,3.200415587243918e-05,0.015441989,0.00057277846,3.2314066292314245e-05,0.015322004,0.0005766912
32,3.191502896298494e-05,0.015401899,0.00057029,3.212006140710482e-05,0.0150527535,0.000553321
33,3.1834765548676555e-05,0.015375412,0.00056885584,3.196834546699198e-05,0.015093277,0.0005608311
