epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,6.876909333033213e-05,0.021410959,0.0012061467,4.7371898293053987e-05,0.020271147,0.00090030173
1,4.479268029520923e-05,0.019557951,0.0008601082,4.110597558493021e-05,0.019275876,0.00086673466
2,4.3477495130358016e-05,0.019450141,0.0008558691,4.1622715817761045e-05,0.019069608,0.00083102315
3,4.247104783341621e-05,0.019322436,0.0008498525,4.004734837121863e-05,0.018860433,0.00082746334
4,4.173225885053727e-05,0.01914808,0.0008389432,3.9516615189770415e-05,0.01868013,0.0008108161
5,4.107293050671541e-05,0.018928492,0.0008223349,3.906142925128035e-05,0.018477188,0.00079361984
6,4.0439516476022117e-05,0.018653821,0.0008023047,3.859409161480489e-05,0.018146545,0.0007616372
7,3.985288964219592e-05,0.01839657,0.00078436924,3.862992464336746e-05,0.017945115,0.0007431393
8,3.930263343391553e-05,0.018134762,0.0007662067,3.872044193656769e-05,0.01786531,0.00073933287
9,3.876057937439878e-05,0.017858788,0.00074680353,3.952405725506793e-05,0.01786018,0.00072833936
10,3.8280992838998535e-05,0.01764576,0.0007317896,4.0259549189452136e-05,0.017946819,0.00072564645
11,3.78264042522754e-05,0.017448718,0.0007178078,4.126948046694021e-05,0.018133638,0.0007267496
