epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,7.694583443560417e-05,0.022829322,0.0012545699,4.781592530603696e-05,0.020003019,0.00089689286
1,5.1719782725535724e-05,0.02088737,0.0009482046,4.6008544428942884e-05,0.0196214,0.00086918485
2,4.916993430167779e-05,0.020560032,0.0009309532,4.541605479322168e-05,0.019401383,0.00084611896
3,4.7529175571248897e-05,0.020295432,0.0009157629,4.45632375123898e-05,0.019436676,0.0008528343
4,4.626825058608029e-05,0.02004532,0.0008999678,4.317218694653909e-05,0.019358445,0.0008568288
5,4.5239251927900326e-05,0.019780463,0.00088211976,4.215277053398719e-05,0.01897581,0.00083005894
6,4.4275643976939915e-05,0.01950024,0.0008626772,4.176839720871787e-05,0.01867896,0.0008030927
7,4.3306005068847335e-05,0.019230792,0.00084272795,4.197093724336652e-05,0.018647948,0.0007972196
8,4.240557539076819e-05,0.018955821,0.0008217219,4.104297533628427e-05,0.018386353,0.00077648635
9,4.1586838005306516e-05,0.0187101,0.00080247707,4.0956313892732647e-05,0.018315792,0.0007694308
10,4.0863616132284114e-05,0.01846833,0.00078398985,4.0208168856914364e-05,0.01793934,0.0007355704
11,4.021155608406592e-05,0.018230017,0.0007660297,3.9582679923241266e-05,0.017728085,0.00072448613
12,3.965910728291437e-05,0.01801596,0.0007505404,3.83961428185593e-05,0.017219566,0.00068867486
13,3.920502248691244e-05,0.017839357,0.0007382771,3.818933697948782e-05,0.017092712,0.0006803286
14,3.881013908677424e-05,0.017678903,0.0007274627,3.853105843784788e-05,0.01708741,0.00067592936
15,3.848470854754964e-05,0.017545916,0.00071914657,3.8643487930064526e-05,0.017046284,0.00067214755
16,3.818446058750494e-05,0.017422726,0.0007114342,3.815423315685295e-05,0.016793048,0.0006542511
17,3.795745950466358e-05,0.017324083,0.0007051027,3.828239544911378e-05,0.016778592,0.0006551158
18,3.773187304658741e-05,0.017231042,0.00069952826,3.821332568909584e-05,0.016733304,0.00064958597
