epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0001133521429148075,0.025865065,0.0016281203,8.39950163434041e-05,0.024353271,0.0013097457
1,8.107340270567985e-05,0.02390123,0.0012416553,7.294946270090677e-05,0.02390757,0.0012466486
2,7.01293518876452e-05,0.023107504,0.0011573562,6.524968352507446e-05,0.022816379,0.0011201616
3,6.360198363678046e-05,0.022338435,0.0010897483,6.37141836221412e-05,0.022197558,0.0010546354
4,6.026113272336902e-05,0.021632085,0.0010336295,6.0114072086233224e-05,0.021605063,0.0010178392
5,5.834573599557089e-05,0.021028064,0.000988697,5.625569966995451e-05,0.020586267,0.0009557982
6,5.717854340365107e-05,0.020602064,0.0009585444,5.5238129406413796e-05,0.020370819,0.0009457474
7,5.639219498124518e-05,0.020312184,0.0009387486,5.463371171067806e-05,0.020106643,0.0009304031
8,5.576691037748925e-05,0.020091938,0.000923733,5.392556563913153e-05,0.019829622,0.0009093885
9,5.5190377137194235e-05,0.019920249,0.0009117855,5.333857239168293e-05,0.019652948,0.0008992957
10,5.473473542761778e-05,0.019773342,0.0009022069,5.2999881354144376e-05,0.019713456,0.0009094137
11,5.436963429736301e-05,0.019651696,0.00089380366,5.266970285633612e-05,0.019476378,0.0008893938
12,5.4023865475844936e-05,0.019544661,0.0008869967,5.2466173353551154e-05,0.019415304,0.00088779826
13,5.3752438223938524e-05,0.019449791,0.0008803041,5.220373621944303e-05,0.019626303,0.0009081464
14,5.347880372989439e-05,0.019365711,0.00087538746,5.187132906425045e-05,0.019299459,0.0008804423
15,5.3242620443781214e-05,0.019288268,0.0008699949,5.134259112695779e-05,0.019123157,0.00086687756
16,5.2993715403645834e-05,0.019222433,0.0008658465,5.119518222580654e-05,0.019152263,0.00086832634
17,5.280372101609419e-05,0.019167088,0.0008619325,5.099987354497843e-05,0.019023687,0.00086063397
18,5.2618611585794564e-05,0.019103382,0.0008577148,5.0760115122604404e-05,0.018843513,0.00084410957
19,5.244447710589147e-05,0.019052444,0.0008543072,5.059772978049016e-05,0.018813338,0.0008455659
20,5.2256593839274754e-05,0.018990543,0.00085001957,5.051087820881767e-05,0.018903464,0.0008555368
21,5.212987764674634e-05,0.018946102,0.0008469385,5.0511577996552175e-05,0.018831572,0.00084596925
22,5.198126523969459e-05,0.018904192,0.00084371015,5.029115959632496e-05,0.018813228,0.0008462904
23,5.184303948342989e-05,0.018857433,0.0008409952,5.027918620233356e-05,0.018750537,0.0008413487
24,5.16976991795695e-05,0.018821076,0.00083856325,5.030814572146767e-05,0.018727602,0.0008396502
25,5.154720655212627e-05,0.018777307,0.00083565986,5.0054886289339003e-05,0.018594865,0.0008263971
26,5.141179544041685e-05,0.018747302,0.00083408173,4.986512242899353e-05,0.01865506,0.0008368083
27,5.129115651014408e-05,0.018710596,0.00083143526,4.9911054638623436e-05,0.018672025,0.000836706
28,5.117541080880758e-05,0.018665196,0.00082808867,5.027394930958853e-05,0.01873178,0.0008410195
29,5.104170324187385e-05,0.018633418,0.00082613266,4.9832310771571596e-05,0.018603785,0.0008310651
30,5.095111196647055e-05,0.018607028,0.0008246142,4.985333233790215e-05,0.018656233,0.0008363266
31,5.084807781984456e-05,0.018578084,0.00082267256,4.998577079583926e-05,0.018669313,0.0008376938
