epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.00010502525287748934,0.007980104,0.0009452925,8.303430457130109e-07,0.0023108115,1.5128201e-05
1,1.6104543267747882e-06,0.0026097381,1.5043847e-05,5.341073625696177e-07,0.0017809955,8.283027e-06
2,1.2999192121927636e-06,0.0022591632,1.0746789e-05,4.250092560086929e-07,0.0015790992,6.3864945e-06
3,1.2153411890220411e-06,0.0020971738,9.04365e-06,3.718944321005838e-07,0.0014255063,5.158235e-06
4,9.678699906805692e-07,0.0018618682,7.2968087e-06,1.130246057176835e-06,0.0020660849,7.3457763e-06
5,8.951653030673124e-07,0.0017775674,6.4495134e-06,3.4033884325709417e-07,0.0013511949,4.102052e-06
6,8.148577109297018e-07,0.0016839145,5.7578286e-06,3.9201972209482135e-07,0.00139854,4.132982e-06
7,8.255807736491345e-07,0.0016435456,5.570263e-06,3.046612424850032e-07,0.0012364074,3.6592794e-06
8,6.750513363991312e-07,0.0015188403,4.7525455e-06,4.5860778447321916e-07,0.001442216,4.0565337e-06
9,6.700728636081686e-07,0.0015228078,4.6290806e-06,5.832438437561079e-07,0.0015688828,4.2548154e-06
10,6.420827713631044e-07,0.0014747698,4.3933815e-06,4.1318049904045716e-07,0.001347904,3.4857499e-06
11,6.30645317469958e-07,0.0014394762,4.2491465e-06,2.811069719600764e-07,0.0011507056,3.003897e-06
12,6.152246440202187e-07,0.001392097,4.1665353e-06,2.697221460028669e-07,0.0012037267,3.5082082e-06
