epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,6.231838891202713e-05,0.014380321,0.000871408,1.883758068909259e-05,0.01132199,0.00022979871
1,1.3077067168720149e-05,0.0096133705,0.00017995737,1.8406851299899185e-05,0.010869969,0.00020727803
2,1.2447653214187447e-05,0.009252725,0.00016560488,1.7526012729816043e-05,0.010564581,0.000195551
3,1.2050588929948779e-05,0.009080897,0.00015985843,1.080308962665145e-05,0.00916678,0.00016703598
4,1.1693378076008748e-05,0.008912728,0.00015459632,1.2598902143906216e-05,0.009609356,0.00017160932
5,1.1417278409338131e-05,0.008805922,0.00015137288,1.083042450970173e-05,0.009036226,0.00016036833
6,1.113394791155622e-05,0.008687569,0.00014785318,1.0059082562196817e-05,0.008673861,0.00015210737
7,1.0882076274246132e-05,0.008559255,0.0001438026,9.612669274051752e-06,0.008398443,0.00014519348
8,1.066760430682185e-05,0.008460422,0.00014096129,9.538365690194153e-06,0.008286366,0.0001407238
9,1.0456998658332554e-05,0.008370547,0.00013862473,9.370124171596604e-06,0.008286432,0.00014105639
10,1.0261454900236871e-05,0.008332309,0.00013829535,9.247738347248773e-06,0.008236879,0.00013985785
11,1.0104537085695732e-05,0.008302048,0.0001382168,9.322645430506238e-06,0.008364532,0.00014420823
12,9.962071758606167e-06,0.00823468,0.00013658938,9.760955723049537e-06,0.008453691,0.0001434974
13,9.84244420102312e-06,0.008192076,0.00013591615,1.0254499200468811e-05,0.008758852,0.00015244793
14,9.718698800078396e-06,0.008155278,0.00013548812,1.0397403912453792e-05,0.008783407,0.00015263582
15,9.622458415982539e-06,0.0081100045,0.00013453502,1.057871267533304e-05,0.008806745,0.00015302864
