epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,6.80992447290485e-05,0.01778075,0.000991699,2.8529629648785826e-05,0.0140470965,0.0004260595
1,2.9255695329228687e-05,0.014512102,0.00044661044,2.6945462357914627e-05,0.013432758,0.0003914844
2,2.8074174863449217e-05,0.01408706,0.00042303387,2.637591249091425e-05,0.012981808,0.00036903715
3,2.7400377295399593e-05,0.013814455,0.00040936453,2.5622940898421255e-05,0.012711233,0.00035915853
4,2.693943602257757e-05,0.013630574,0.0004011268,2.493226799196525e-05,0.012575703,0.0003558339
5,2.65682229756676e-05,0.01347496,0.00039413586,2.4602941653727537e-05,0.012609013,0.00035923222
6,2.6250003501962346e-05,0.01334261,0.00038816273,2.478208918791665e-05,0.012654365,0.00035938554
7,2.597658506766405e-05,0.013263589,0.0003849519,2.5098344042478845e-05,0.012685078,0.0003528948
8,2.574586271224937e-05,0.013197914,0.00038241412,2.707482769465711e-05,0.013115465,0.00036043025
9,2.5571369055263637e-05,0.01312446,0.0003793958,2.8773422706015004e-05,0.013318804,0.00036134152
10,2.5413342098471203e-05,0.013075673,0.00037773847,3.0003489206112767e-05,0.013589742,0.000369026
