epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.0001499326909793972,0.0089272875,0.00034052902,2.165009677963589e-05,0.005148334,4.8844955e-05
1,1.7748893901502505e-05,0.0044625266,4.0926912e-05,1.7618836120695297e-05,0.0045846268,4.0337818e-05
2,1.6422267888531527e-05,0.0043035275,3.789261e-05,1.744828436324936e-05,0.004613446,3.960893e-05
3,1.5479529323004213e-05,0.0041877953,3.5645848e-05,1.5769683619162585e-05,0.004335516,3.600415e-05
4,1.4718143757346878e-05,0.0040945522,3.37945e-05,1.5542367959773238e-05,0.004330568,3.531412e-05
5,1.42150237099649e-05,0.0040316787,3.2554122e-05,1.533036394004044e-05,0.0043214457,3.4716548e-05
6,1.3868963036129233e-05,0.0039837407,3.1709766e-05,1.406450567327319e-05,0.0040606917,3.2208103e-05
7,1.3591771497642814e-05,0.0039438903,3.104372e-05,1.3224514343287256e-05,0.003905183,3.044077e-05
8,1.3348062709551668e-05,0.003908355,3.0467116e-05,1.303535113079255e-05,0.0038802628,2.9985542e-05
9,1.309980073828519e-05,0.0038666865,2.990731e-05,1.3330487042387606e-05,0.0039646863,3.0490177e-05
10,1.2927366370768152e-05,0.0038398458,2.9511551e-05,1.3261864707826309e-05,0.0039729024,3.029179e-05
11,1.2755171067848517e-05,0.003813146,2.9121798e-05,1.3226702932432376e-05,0.0039752065,3.0170373e-05
12,1.2592876263340748e-05,0.0037841953,2.8765418e-05,1.2908897561379142e-05,0.003920592,2.9464301e-05
13,1.2474334389037123e-05,0.0037651786,2.8492886e-05,1.2781182315878784e-05,0.0038946783,2.9218972e-05
14,1.2337210173734227e-05,0.0037406334,2.8189012e-05,1.2909559692682736e-05,0.0039131944,2.964083e-05
15,1.2210152263312424e-05,0.003718913,2.7892129e-05,1.2726096564507683e-05,0.0038852722,2.9143232e-05
16,1.2090366385605333e-05,0.0036957595,2.7629347e-05,1.3088983639922998e-05,0.003978555,2.98019e-05
17,1.1987040739310658e-05,0.0036774597,2.738468e-05,1.3331779711550328e-05,0.0040542427,3.0153962e-05
18,1.183959603424829e-05,0.0036481142,2.705041e-05,1.3396276952416782e-05,0.0040660915,3.0305475e-05
