epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,7.740516397074473e-05,0.018755758,0.0011076145,3.100408626396715e-05,0.014867457,0.00046129222
1,3.0221635703058208e-05,0.014638658,0.00045374068,2.9254171483751527e-05,0.0143263005,0.00042881936
2,2.898544748246382e-05,0.014278473,0.00043248435,3.080448756418729e-05,0.014225218,0.0004082616
3,2.831449055932927e-05,0.014032979,0.0004189448,3.0000293623532268e-05,0.014022104,0.00039628384
4,2.7750137341489625e-05,0.013832642,0.00040820526,2.8558509811835627e-05,0.013772122,0.00038977002
5,2.731137689299694e-05,0.0136755565,0.00040066493,2.801007874472273e-05,0.013549076,0.00037890434
6,2.696140991016134e-05,0.013562422,0.00039567385,2.6662509271121303e-05,0.013240228,0.00037060754
7,2.6644650908604642e-05,0.013464223,0.0003916177,2.672167498537261e-05,0.013255197,0.00037081804
8,2.6415835370136198e-05,0.01339371,0.0003887538,2.7939519787238236e-05,0.013444907,0.0003725132
9,2.6204247194001737e-05,0.013327036,0.00038607727,2.9579163323116407e-05,0.013640699,0.00037367182
10,2.601179830658791e-05,0.013279732,0.00038422993,2.871134178653366e-05,0.01352609,0.00037190018
11,2.5820637429699908e-05,0.013227599,0.0003823676,2.8386120246211245e-05,0.01339233,0.00036724668
