epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,9.92063637360049e-05,0.006152755,0.00022156048,8.08476245839127e-06,0.0030566247,1.7738917e-05
1,7.381040685975171e-06,0.0029188674,1.6466942e-05,6.78865949729964e-06,0.0028306467,1.517393e-05
2,6.915839658659822e-06,0.0028380796,1.5418107e-05,5.702368731946457e-06,0.0025251133,1.3048074e-05
3,6.527747819831582e-06,0.0027573726,1.460217e-05,5.435440774785681e-06,0.0024714188,1.2537137e-05
4,6.300137877027311e-06,0.0027080146,1.4124695e-05,5.268196099967264e-06,0.002423372,1.2186114e-05
5,6.152573620102813e-06,0.0026746448,1.3813978e-05,5.043422600401111e-06,0.0023551295,1.1724435e-05
6,6.029099546693836e-06,0.002645565,1.354747e-05,4.853467544307932e-06,0.002300298,1.1338377e-05
7,5.902489879569764e-06,0.0026156513,1.3280875e-05,4.966514651265114e-06,0.0023432265,1.1524621e-05
8,5.7939175400998095e-06,0.0025889715,1.3054674e-05,4.927282645320417e-06,0.002336101,1.1435725e-05
9,5.695528564123347e-06,0.0025657602,1.2848051e-05,4.96124171907771e-06,0.002360677,1.1478138e-05
10,5.6148227848734575e-06,0.0025460885,1.26795685e-05,5.1736956265813205e-06,0.0024465653,1.1880103e-05
11,5.536483544216924e-06,0.00252747,1.2518042e-05,5.195697109560239e-06,0.002454551,1.1909346e-05
