epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,3.487568369111375e-05,0.012728414,0.00053276075,1.2296014505853286e-05,0.010228141,0.00021167593
1,1.2670561488664275e-05,0.009457955,0.00017468867,1.584904750304425e-05,0.010850574,0.00021268046
2,1.2118507743323526e-05,0.009077553,0.00015960072,1.4718573313584536e-05,0.010290437,0.00019234225
3,1.1801957660866958e-05,0.008909223,0.00015381731,1.211889340462569e-05,0.009540551,0.00017283046
4,1.158237341690571e-05,0.008834976,0.00015190162,1.0822116927845315e-05,0.009116698,0.00016435304
5,1.1362985587380346e-05,0.008758048,0.00014978473,1.0341188306455737e-05,0.008856357,0.00015746534
6,1.1179267590437014e-05,0.008685911,0.00014776849,1.0069163900063712e-05,0.0087555535,0.00015569713
7,1.101812047012528e-05,0.0086469175,0.00014698938,9.952487658019984e-06,0.0087608835,0.00015570219
8,1.0851293717210875e-05,0.008556783,0.00014416051,9.86460188554323e-06,0.008748075,0.00015446072
9,1.0652322028683209e-05,0.008464963,0.00014147292,1.0193460834298497e-05,0.008781768,0.00015219073
10,1.04164707536479e-05,0.008380442,0.00013935268,1.0149562643477757e-05,0.008708724,0.00015010044
11,1.0197641188068325e-05,0.008293768,0.00013712415,1.0616237758575512e-05,0.008793946,0.00015054166
12,9.9847113035013e-06,0.00821338,0.00013528418,1.0419152566910985e-05,0.008627484,0.00014571968
