epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.00011187976856410292,0.017482623,0.00074916275,8.062134169356415e-05,0.015460268,0.0005089603
1,7.265811802106946e-05,0.015015322,0.00048145093,6.414659474258494e-05,0.0141692525,0.00044596818
2,6.45347261624803e-05,0.014204567,0.0004338928,5.982668034465398e-05,0.013384434,0.00039898563
3,6.021341789568726e-05,0.013656284,0.0004079127,5.66294511388214e-05,0.012969591,0.0003800632
4,5.75179784944738e-05,0.013271029,0.00039162306,5.475377428220687e-05,0.012853827,0.00037774313
5,5.570320660279786e-05,0.013009532,0.00038081774,5.2862070679965505e-05,0.012619983,0.0003731547
6,5.444674513337034e-05,0.012829816,0.00037293113,5.255227059057674e-05,0.012556334,0.00037150132
7,5.348919605267259e-05,0.012694828,0.00036718597,5.2161631588380294e-05,0.012454799,0.0003642336
8,5.272325311159418e-05,0.012586142,0.0003624412,5.14343839334069e-05,0.012315703,0.0003586689
9,5.208125981643465e-05,0.012500624,0.00035883646,5.221921887454841e-05,0.012409764,0.0003565391
10,5.153067406635278e-05,0.01241735,0.0003552495,5.186792485482009e-05,0.012334528,0.00035384545
11,5.105945537380563e-05,0.012350631,0.0003524157,5.220293361766649e-05,0.012415303,0.00035156767
12,5.072047017150376e-05,0.012298376,0.0003502574,5.18062701148031e-05,0.012308541,0.0003511639
13,5.0399576126416346e-05,0.01224881,0.00034815544,5.148102768511706e-05,0.012231449,0.0003485875
