epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0007189832368923817,0.011530257,0.00071898306,7.71686406057043e-05,0.006499158,7.716838e-05
1,7.41493733219492e-05,0.006316799,7.414943e-05,6.794299149897503e-05,0.0060277698,6.794293e-05
2,6.868321561293366e-05,0.006056408,6.8683185e-05,6.421998811354917e-05,0.0057868552,6.421971e-05
3,6.604333274105253e-05,0.00593796,6.604332e-05,6.123315734886438e-05,0.0055909185,6.123281e-05
4,6.353199804939019e-05,0.0058136326,6.3531974e-05,6.122726638820808e-05,0.005627661,6.122673e-05
5,6.150505175930449e-05,0.0057120365,6.150505e-05,5.9017316547946513e-05,0.0055011516,5.9016827e-05
6,6.0917037410739186e-05,0.005694035,6.0917042e-05,5.656232323879646e-05,0.0053866575,5.656185e-05
7,5.918682539699754e-05,0.005610408,5.9186834e-05,5.7472140028081816e-05,0.005432133,5.7471723e-05
8,5.8043898836670756e-05,0.005547611,5.8043835e-05,5.778462040512315e-05,0.005452955,5.778422e-05
9,5.666882732301019e-05,0.005475857,5.6668796e-05,5.719956101157686e-05,0.0054020337,5.7199108e-05
10,5.5969039958630066e-05,0.0054391637,5.5969023e-05,6.926388773260791e-05,0.0063094175,6.9263624e-05
11,5.472693029189638e-05,0.005370275,5.4726977e-05,6.924594583178494e-05,0.0063239313,6.9245616e-05
