epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,6.0359586630037315e-05,0.02217933,0.0011268243,4.5912165763392315e-05,0.019795721,0.00089182984
1,4.789225043145242e-05,0.020720476,0.0009588798,4.2455989713256465e-05,0.018997515,0.000825331
2,4.333185393516172e-05,0.01921566,0.00084205996,4.1439809123465495e-05,0.017134713,0.00068438915
3,4.0838658102527156e-05,0.018080613,0.00076047366,3.956726978656009e-05,0.016734833,0.0006618632
4,3.980547948311292e-05,0.017638993,0.00073174475,3.915437361501455e-05,0.016725173,0.00066857494
5,3.9184354544717366e-05,0.017396288,0.0007170667,3.9195867933991665e-05,0.016747465,0.00066507416
6,3.873703248536229e-05,0.017223518,0.0007067336,3.859738178157819e-05,0.016691536,0.0006661642
7,3.840952990947783e-05,0.017091356,0.00069905206,3.9939220746231276e-05,0.017021103,0.00068261015
8,3.8107030735385306e-05,0.01698444,0.0006926552,3.8701207884988094e-05,0.01665562,0.00066903996
9,3.7890285509963576e-05,0.016904881,0.0006877252,3.8787502531267094e-05,0.016540667,0.00065636256
10,3.770524699955474e-05,0.016840251,0.0006835724,3.9816824887391676e-05,0.016878836,0.0006812022
11,3.752616559504212e-05,0.01677877,0.0006801269,3.85760156914097e-05,0.016504811,0.00065712293
