epoch,loss,mae,mse
0,0.0016559463320381307,0.014585873,0.001655944
1,8.722913445422246e-05,0.007276451,8.722926e-05
2,6.424240706991239e-05,0.0062231813,6.424238e-05
3,5.157095309349007e-05,0.005576911,5.157102e-05
4,4.2506660448511726e-05,0.005054968,4.250667e-05
5,3.835360419448418e-05,0.004820568,3.8353643e-05
6,3.478433055891814e-05,0.0045174407,3.47844e-05
7,3.110226612710383e-05,0.004293014,3.1102252e-05
8,2.7283374257462125e-05,0.004061526,2.7283306e-05
9,2.5846778722175152e-05,0.0039562513,2.5846753e-05
10,2.3745312579130508e-05,0.0038048066,2.3745313e-05
11,2.2206542964349463e-05,0.003667731,2.2206554e-05
12,2.096560467158028e-05,0.0035694214,2.0965577e-05
13,1.9772152506569652e-05,0.0034737845,1.9772164e-05
14,1.874595436307167e-05,0.0033803715,1.8745946e-05
15,1.7934294717495e-05,0.0033144434,1.7934286e-05
16,1.7318550786348018e-05,0.0032444748,1.7318585e-05
17,1.662680660707033e-05,0.0031792682,1.6626813e-05
18,1.5994884478061578e-05,0.0031301698,1.5994912e-05
19,1.5556708857848194e-05,0.0030721335,1.5556692e-05
20,1.5077836351815148e-05,0.0030340294,1.5077863e-05
21,1.4752349218972562e-05,0.0029924784,1.4752368e-05
22,1.4462244895916083e-05,0.00295356,1.4462202e-05
23,1.4081779772488778e-05,0.002911421,1.4081812e-05
24,1.3566008977085963e-05,0.0028684477,1.3565993e-05
25,1.3307120224242448e-05,0.0028486883,1.3307133e-05
26,1.2919542763747688e-05,0.0028053909,1.2919523e-05
27,1.278046687825395e-05,0.002789185,1.2780457e-05
28,1.2738162071593756e-05,0.0027750223,1.27381845e-05
29,1.232841819607252e-05,0.0027380192,1.2328395e-05
30,1.1941500423062094e-05,0.0026989128,1.1941493e-05
31,1.1812067259522175e-05,0.0026892847,1.1812061e-05
32,1.1692493459970315e-05,0.0026681374,1.1692506e-05
33,1.1552631083103476e-05,0.002650919,1.1552632e-05
34,1.126173156099446e-05,0.0026225084,1.1261711e-05
35,1.103788689477065e-05,0.002602012,1.1037898e-05
36,1.0830230111984458e-05,0.002574083,1.0830205e-05
37,1.080650603664807e-05,0.0025711602,1.080651e-05
38,1.0543277725847667e-05,0.0025396487,1.0543277e-05
39,1.0703602382104495e-05,0.002547518,1.0703599e-05
40,1.0410144928359497e-05,0.0025162753,1.0410149e-05
41,1.0259880557079948e-05,0.0025008009,1.0259875e-05
42,1.0080561419000658e-05,0.002480124,1.0080552e-05
43,9.933954669962022e-06,0.002462749,9.933933e-06
44,9.813788101261345e-06,0.00244321,9.813785e-06
45,9.588657693129674e-06,0.0024169022,9.588663e-06
46,9.541276158562585e-06,0.0024104414,9.541266e-06
47,9.494074276073477e-06,0.0024036295,9.494058e-06
48,9.338839453577217e-06,0.0023919495,9.338855e-06
49,9.27615237002149e-06,0.0023800076,9.276136e-06
50,9.163175924287552e-06,0.0023644615,9.163189e-06
51,8.997597122266885e-06,0.0023452034,8.997618e-06
52,9.041553360849974e-06,0.002345592,9.041563e-06
53,8.807457951393307e-06,0.0023190645,8.807456e-06
54,8.823658271662733e-06,0.0023198405,8.823656e-06
55,8.666115043055836e-06,0.002303456,8.666109e-06
56,8.5543873792777e-06,0.002289279,8.55439e-06
57,8.512382621775252e-06,0.002281929,8.512369e-06
58,8.39721581987375e-06,0.0022666617,8.397211e-06
59,8.274776862738366e-06,0.0022528078,8.274768e-06
60,8.144914361209152e-06,0.0022396594,8.144911e-06
61,8.106897961179518e-06,0.0022321853,8.1069e-06
62,8.028510935985645e-06,0.0022232616,8.028518e-06
63,7.973214159197354e-06,0.0022169617,7.973222e-06
64,7.897723724860396e-06,0.002203533,7.897732e-06
65,7.950228134208022e-06,0.002208935,7.950227e-06
66,7.822668147266468e-06,0.0021940442,7.82266e-06
67,7.708485367455655e-06,0.002180702,7.70848e-06
68,7.667051473453727e-06,0.002172367,7.667048e-06
69,7.668588538202709e-06,0.0021728794,7.668593e-06
70,7.70048967416156e-06,0.0021762103,7.700488e-06
71,7.6102787156771755e-06,0.0021623217,7.6102874e-06
72,7.641535216513727e-06,0.002165626,7.64154e-06
73,7.641059690084954e-06,0.0021628423,7.641056e-06
74,7.5168876322905315e-06,0.0021466939,7.5168714e-06
75,7.541188459258453e-06,0.0021484282,7.541196e-06
76,7.437952344054433e-06,0.0021364416,7.437958e-06
77,7.381648574205988e-06,0.002131144,7.381662e-06
78,7.3721945150438424e-06,0.002127814,7.3721862e-06
79,7.28942819987005e-06,0.0021183314,7.289428e-06
80,7.30843010769905e-06,0.0021185623,7.308427e-06
81,7.2291116655182175e-06,0.002106639,7.2291195e-06
82,7.2027352184701034e-06,0.0021045767,7.2027483e-06
83,7.1700360504340265e-06,0.0020986341,7.1700338e-06
84,7.172210415977235e-06,0.0020959948,7.1722034e-06
85,7.128900249995555e-06,0.0020903808,7.1289055e-06
86,7.228305048152216e-06,0.0021038633,7.2283037e-06
87,7.049878950751799e-06,0.0020792342,7.0498745e-06
88,7.0602482783243685e-06,0.002081196,7.060241e-06
89,7.010034404827119e-06,0.0020716835,7.010037e-06
90,6.9494049082276345e-06,0.0020647154,6.9494035e-06
91,6.917043496257852e-06,0.0020589738,6.91704e-06
92,6.8544848210308e-06,0.0020496103,6.8544773e-06
93,6.877055265510416e-06,0.002054983,6.8770546e-06
94,6.752041399718846e-06,0.002037646,6.752039e-06
95,6.804505613861974e-06,0.0020457876,6.8045065e-06
96,6.781434603844154e-06,0.0020397648,6.7814253e-06
97,6.677301093445491e-06,0.0020274934,6.677319e-06
98,6.6688414692626175e-06,0.0020245332,6.6688376e-06
99,6.698908172755265e-06,0.0020285533,6.698911e-06
