epoch,loss,mae,mse
0,0.05473548981955928,0.15643978,0.054735545
1,0.0021738445041040375,0.033418205,0.0021738454
2,0.0006377465545345564,0.018634183,0.00063774566
3,0.00032349246060966633,0.013418257,0.00032349268
4,0.00021521219832887006,0.0109664695,0.00021521213
5,0.00016217727538303046,0.0095105,0.00016217712
6,0.00013082911349320317,0.008540107,0.00013082915
7,0.0001106032458573632,0.007859874,0.000110603294
8,9.650291828070104e-05,0.0073562805,9.650311e-05
9,8.600678654888215e-05,0.006961677,8.600666e-05
10,7.772154309679281e-05,0.006632713,7.772161e-05
11,7.09324654669416e-05,0.006348831,7.0932496e-05
12,6.526305056067694e-05,0.0060996143,6.5263084e-05
13,6.048080466316905e-05,0.005880068,6.0480837e-05
14,5.642869301747906e-05,0.0056871274,5.6428697e-05
15,5.2959309629407636e-05,0.0055174413,5.2959258e-05
16,4.994637198607761e-05,0.005364927,4.994642e-05
17,4.730612229356138e-05,0.0052273856,4.7306155e-05
18,4.496036909014516e-05,0.0051019923,4.4960292e-05
19,4.2838741874638374e-05,0.004985812,4.283874e-05
20,4.09342203711119e-05,0.0048789103,4.0934185e-05
21,3.921040149632381e-05,0.0047803274,3.9210478e-05
22,3.763503908424818e-05,0.0046886588,3.7635054e-05
23,3.6197141330833375e-05,0.0046031624,3.619713e-05
24,3.4889398223059675e-05,0.0045235055,3.4889454e-05
25,3.3689858582498624e-05,0.004449245,3.3689845e-05
26,3.258531392862308e-05,0.004379855,3.2585274e-05
27,3.155973224157097e-05,0.0043142396,3.155978e-05
28,3.060860338664662e-05,0.0042524817,3.060862e-05
29,2.9726553116637473e-05,0.004194081,2.9726569e-05
30,2.8904305174149612e-05,0.00413877,2.8904326e-05
31,2.813513524350819e-05,0.0040861527,2.8135126e-05
32,2.7409550239387638e-05,0.004035502,2.740953e-05
33,2.6728314573637398e-05,0.003987243,2.6728301e-05
34,2.6091567938731364e-05,0.0039414777,2.6091593e-05
35,2.550008372861025e-05,0.003898514,2.5500127e-05
36,2.494588162692094e-05,0.003857693,2.4945848e-05
37,2.4424096462532944e-05,0.0038186968,2.442406e-05
38,2.392959201374018e-05,0.0037814116,2.3929588e-05
39,2.3460662842854124e-05,0.0037456201,2.3460678e-05
40,2.3013741589599975e-05,0.003711128,2.301375e-05
41,2.258615388877506e-05,0.0036776548,2.258619e-05
42,2.2179745840646214e-05,0.0036455223,2.2179778e-05
43,2.179516215250051e-05,0.0036149558,2.1795184e-05
44,2.142933439877343e-05,0.0035855845,2.1429312e-05
45,2.107825226163892e-05,0.0035572567,2.1078242e-05
46,2.074191733406225e-05,0.0035297237,2.0741896e-05
47,2.041938252157549e-05,0.0035031321,2.0419388e-05
48,2.010819100869468e-05,0.0034773634,2.0108206e-05
49,1.9807829017252956e-05,0.0034522302,1.9807796e-05
50,1.951890500138858e-05,0.003427977,1.9518882e-05
51,1.923986514119606e-05,0.003404285,1.9239858e-05
52,1.8972544434639804e-05,0.0033814565,1.8972538e-05
53,1.8714624216008585e-05,0.003359222,1.8714612e-05
54,1.8465817300957544e-05,0.0033375998,1.8465807e-05
55,1.822523754568549e-05,0.0033165435,1.8225248e-05
56,1.799245149206974e-05,0.0032959613,1.7992488e-05
57,1.7767702418573343e-05,0.0032759765,1.7767723e-05
58,1.7550050326628877e-05,0.0032564697,1.7550066e-05
59,1.733741837836025e-05,0.003237334,1.7337374e-05
60,1.7122415896207603e-05,0.0032178476,1.7122396e-05
61,1.6919021787591905e-05,0.00319939,1.691901e-05
62,1.6725775931455125e-05,0.0031817083,1.6725802e-05
63,1.653930895687799e-05,0.0031644525,1.6539343e-05
64,1.6359500452889704e-05,0.0031476864,1.635951e-05
65,1.618489831965221e-05,0.0031312818,1.618489e-05
66,1.6016642946448577e-05,0.003115365,1.6016615e-05
67,1.5852801875475058e-05,0.0030997691,1.5852807e-05
68,1.569425137775653e-05,0.003084607,1.56943e-05
69,1.5540788905477112e-05,0.0030698462,1.55408e-05
70,1.5391523437264628e-05,0.003055477,1.5391523e-05
71,1.524631179209858e-05,0.0030413729,1.52463135e-05
72,1.5105483151621255e-05,0.0030276496,1.51054755e-05
73,1.4968518858378725e-05,0.0030142483,1.4968521e-05
74,1.483459786431544e-05,0.0030010368,1.4834596e-05
75,1.4704179423114133e-05,0.0029880744,1.47042065e-05
76,1.4577737058399975e-05,0.0029754178,1.4577737e-05
77,1.4454221027748566e-05,0.002963017,1.4454229e-05
78,1.4334170427918702e-05,0.0029508546,1.4334189e-05
79,1.4217591168123127e-05,0.0029389916,1.4217588e-05
80,1.4104856276219849e-05,0.002927468,1.4104893e-05
81,1.3994527204601893e-05,0.0029161824,1.3994549e-05
82,1.3886320003211254e-05,0.0029051206,1.3886329e-05
83,1.378068115222113e-05,0.0028942216,1.3780653e-05
84,1.3678004911272061e-05,0.0028836182,1.3678022e-05
85,1.3577365215727695e-05,0.0028731143,1.3577371e-05
86,1.347874615077544e-05,0.0028627384,1.3478732e-05
87,1.338234218203296e-05,0.0028525766,1.338235e-05
88,1.3288227815556422e-05,0.0028426636,1.328824e-05
89,1.3196037036730743e-05,0.002832927,1.3196057e-05
90,1.3105909863527852e-05,0.0028233707,1.3105923e-05
91,1.301766440866631e-05,0.002813997,1.30176795e-05
92,1.2931281373860933e-05,0.002804729,1.2931295e-05
93,1.2846569293354318e-05,0.0027956306,1.2846585e-05
94,1.2763365288032847e-05,0.0027866908,1.27633875e-05
95,1.2682149789647249e-05,0.0027779492,1.2682153e-05
96,1.2601955377761976e-05,0.0027693033,1.2601952e-05
97,1.2523250076134024e-05,0.0027607896,1.252326e-05
98,1.24455661394968e-05,0.0027523101,1.2445546e-05
99,1.2369553657941747e-05,0.0027439839,1.2369571e-05
