epoch,loss,mae,mse
0,0.12212133987838175,0.2568773,0.12212148
1,0.005734226389803458,0.055245355,0.0057342243
2,0.0013511111319217113,0.026924662,0.0013511116
3,0.0005591836807222941,0.017538967,0.00055918325
4,0.00033424331680427814,0.01365774,0.0003342435
5,0.00022913706426576385,0.011374413,0.00022913713
6,0.00017233667798135808,0.009910321,0.00017233653
7,0.0001392869220857689,0.008917942,0.00013928689
8,0.0001178707668880645,0.008200258,0.00011787083
9,0.00010263885921862873,0.0076496312,0.00010263883
10,9.098991236099714e-05,0.007204832,9.098992e-05
11,8.174191350921494e-05,0.0068336385,8.174192e-05
12,7.424911963862824e-05,0.006519635,7.424911e-05
13,6.814794898482748e-05,0.0062527265,6.814808e-05
14,6.309947518916891e-05,0.006020641,6.3099505e-05
15,5.8901869293877235e-05,0.0058196266,5.890186e-05
16,5.5326448960783886e-05,0.0056418036,5.5326433e-05
17,5.2211862297199104e-05,0.005481094,5.221184e-05
18,4.945270296744713e-05,0.00533412,4.945276e-05
19,4.700411159356398e-05,0.0052001947,4.7004152e-05
20,4.481301757530954e-05,0.005077779,4.481314e-05
21,4.2841783263309496e-05,0.0049655703,4.2841755e-05
22,4.105822129423257e-05,0.004862785,4.105824e-05
23,3.944564570570364e-05,0.0047686067,3.9445596e-05
24,3.798038547006073e-05,0.0046820394,3.79804e-05
25,3.66417336993149e-05,0.004601611,3.6641693e-05
26,3.541733823929692e-05,0.004526849,3.5417375e-05
27,3.4294842576829285e-05,0.0044574705,3.4294826e-05
28,3.326140224105437e-05,0.004392728,3.326144e-05
29,3.230489692494207e-05,0.004331833,3.2304903e-05
30,3.1416653405292226e-05,0.0042742686,3.1416646e-05
31,3.05843391702421e-05,0.0042199087,3.058434e-05
32,2.9754333717666064e-05,0.0041661626,2.9754334e-05
33,2.9026782879508562e-05,0.004117122,2.902676e-05
34,2.836136469319359e-05,0.004071287,2.8361339e-05
35,2.773823704780045e-05,0.0040281615,2.773829e-05
36,2.7150722150703683e-05,0.003987158,2.7150683e-05
37,2.6598917106893075e-05,0.003948372,2.6598915e-05
38,2.6077877674612584e-05,0.003911521,2.6077876e-05
39,2.5583727746939234e-05,0.0038760712,2.5583753e-05
40,2.5114059357359076e-05,0.0038419103,2.5114057e-05
41,2.466811091321879e-05,0.0038091482,2.4668077e-05
42,2.4243719890119448e-05,0.0037775761,2.4243718e-05
43,2.3839367394403843e-05,0.0037472625,2.3839368e-05
44,2.345337777262997e-05,0.0037179964,2.3453376e-05
45,2.3085127464092368e-05,0.0036899447,2.3085136e-05
46,2.2733060706263483e-05,0.0036629753,2.2733037e-05
47,2.23963058006909e-05,0.0036368698,2.2396294e-05
48,2.2074148619285765e-05,0.0036118259,2.2074173e-05
49,2.176497174038353e-05,0.003587601,2.1764983e-05
50,2.146864828855535e-05,0.0035642248,2.1468655e-05
51,2.1183530241609724e-05,0.0035415883,2.1183554e-05
52,2.0909889663289794e-05,0.0035195875,2.0909936e-05
53,2.0646826914901684e-05,0.0034984401,2.0646828e-05
54,2.0393643880890438e-05,0.0034779902,2.039363e-05
55,2.0149641604417554e-05,0.0034581546,2.0149704e-05
56,1.9915179599582776e-05,0.0034390565,1.9915193e-05
57,1.9686870683791542e-05,0.0034204149,1.9686859e-05
58,1.9463057512303168e-05,0.0034019651,1.9463076e-05
59,1.924814551237521e-05,0.0033841238,1.9248171e-05
60,1.904073609548391e-05,0.003366794,1.9040728e-05
61,1.884141647389269e-05,0.0033499505,1.8841423e-05
62,1.8648800552415064e-05,0.0033336189,1.864882e-05
63,1.8463270029327985e-05,0.0033177405,1.8463268e-05
64,1.8284236258993438e-05,0.003302331,1.8284258e-05
65,1.8110804953054276e-05,0.0032872888,1.8110812e-05
66,1.7943228825146857e-05,0.0032726869,1.7943199e-05
67,1.7779989296676267e-05,0.0032584332,1.7779977e-05
68,1.762087594356377e-05,0.003244434,1.762088e-05
69,1.746622978742297e-05,0.0032307636,1.7466231e-05
70,1.7315467393118606e-05,0.0032174012,1.7315437e-05
71,1.7169091274933352e-05,0.0032043247,1.7169075e-05
72,1.702680816183805e-05,0.0031915163,1.7026803e-05
73,1.688767701516972e-05,0.0031789113,1.6887685e-05
74,1.67517381458557e-05,0.0031666404,1.6751737e-05
75,1.66188825114612e-05,0.0031545542,1.6618906e-05
76,1.6487528323928863e-05,0.0031425504,1.6487542e-05
77,1.635838086705237e-05,0.0031306609,1.6358403e-05
78,1.623326668219016e-05,0.003119126,1.6233253e-05
79,1.6111438034145592e-05,0.0031077955,1.6111446e-05
80,1.5991886446639145e-05,0.003096639,1.5991887e-05
81,1.5875533531719533e-05,0.0030857346,1.5875512e-05
82,1.5760795623057286e-05,0.003074931,1.5760774e-05
83,1.5648446567651188e-05,0.0030643295,1.5648431e-05
84,1.553784512676101e-05,0.003053804,1.5537851e-05
85,1.5429455832599688e-05,0.0030435047,1.5429478e-05
86,1.5323312050316568e-05,0.0030333532,1.5323307e-05
87,1.5218903034335142e-05,0.0030233434,1.521893e-05
88,1.511676205777892e-05,0.0030134558,1.5116746e-05
89,1.5015708710983873e-05,0.0030036075,1.501568e-05
90,1.4916605569218649e-05,0.002993924,1.49166e-05
91,1.4818478427032221e-05,0.0029842784,1.481847e-05
92,1.4721734920614913e-05,0.002974714,1.4721742e-05
93,1.4626426797650358e-05,0.0029652643,1.4626436e-05
94,1.4533082305016512e-05,0.0029560183,1.45331005e-05
95,1.44412080208903e-05,0.0029468609,1.4441208e-05
96,1.4350188058409184e-05,0.002937778,1.4350211e-05
97,1.4260098880272226e-05,0.0029287508,1.4260101e-05
98,1.4170242241755587e-05,0.0029197317,1.4170234e-05
99,1.4081248523327612e-05,0.0029108059,1.40812335e-05
