epoch,loss,mae,mse
0,0.00020797146161086858,0.007227299,0.00020797146
1,6.192981297324878e-05,0.005740522,6.192988e-05
2,5.662181944033364e-05,0.0054586553,5.6621775e-05
3,5.263406462443527e-05,0.0052511725,5.2633986e-05
4,4.892630990128964e-05,0.0050532236,4.8926402e-05
5,4.548482982063433e-05,0.004869438,4.5484845e-05
6,4.206549767259276e-05,0.004686363,4.2065483e-05
7,3.873746311335708e-05,0.00450485,3.87375e-05
8,3.5902213779481825e-05,0.0043462785,3.5902252e-05
9,3.383315311613842e-05,0.0042285556,3.383319e-05
10,3.214165776691516e-05,0.0041208463,3.214162e-05
11,3.085635486189858e-05,0.0040393695,3.085632e-05
12,2.9794922123546713e-05,0.00396603,2.9794894e-05
13,2.9039576520881383e-05,0.0039106593,2.903956e-05
14,2.8393712581309955e-05,0.0038645563,2.8393712e-05
15,2.7815855883382027e-05,0.003819206,2.781589e-05
16,2.736254952396848e-05,0.003781475,2.736253e-05
17,2.693476143089356e-05,0.0037453347,2.6934706e-05
18,2.6632081718416886e-05,0.0037203354,2.6632117e-05
19,2.6326848083845106e-05,0.003693115,2.6326852e-05
20,2.6127098188444506e-05,0.0036742575,2.6127143e-05
21,2.588845536214649e-05,0.0036546276,2.5888396e-05
22,2.5659899432503153e-05,0.0036343802,2.5659867e-05
23,2.547238731160178e-05,0.0036179046,2.5472395e-05
24,2.5299597892444582e-05,0.0036027622,2.5299545e-05
25,2.5122279356437503e-05,0.0035872678,2.5122277e-05
26,2.498045804662979e-05,0.0035741357,2.4980385e-05
27,2.4800919906556372e-05,0.0035588266,2.4800936e-05
28,2.4717402162059443e-05,0.003551247,2.4717427e-05
29,2.4608443871256894e-05,0.003542298,2.4608411e-05
30,2.448791547154542e-05,0.0035318988,2.4487905e-05
31,2.43474038412387e-05,0.003518457,2.434742e-05
32,2.429046572171501e-05,0.0035132195,2.4290443e-05
33,2.4193097701790977e-05,0.003504821,2.4193196e-05
34,2.4097423121565952e-05,0.0034960846,2.4097444e-05
35,2.4032095800939714e-05,0.0034900089,2.4032095e-05
36,2.3922554811870212e-05,0.003479727,2.3922543e-05
37,2.384193342673825e-05,0.003472512,2.3841949e-05
38,2.3781224115373335e-05,0.003467003,2.378124e-05
39,2.372121141597745e-05,0.0034620538,2.3721219e-05
40,2.3645054498192622e-05,0.0034554517,2.3645049e-05
41,2.358111381472554e-05,0.0034496076,2.3581164e-05
42,2.350573067436926e-05,0.0034424688,2.350577e-05
43,2.3470473864290398e-05,0.0034396383,2.34705e-05
44,2.339007124348427e-05,0.0034313765,2.3390065e-05
45,2.334780545454123e-05,0.0034274564,2.3347824e-05
46,2.327496380821685e-05,0.0034199671,2.327499e-05
47,2.3256649539689534e-05,0.003418452,2.325664e-05
48,2.3168796844838654e-05,0.0034104828,2.3168826e-05
49,2.3141714190132917e-05,0.0034079258,2.3141702e-05
50,2.3096803848457057e-05,0.0034036355,2.3096807e-05
51,2.3048675148020265e-05,0.0033987388,2.3048668e-05
52,2.3014519072457916e-05,0.0033958515,2.3014558e-05
53,2.2982316110574174e-05,0.003392366,2.2982389e-05
54,2.2939921564247926e-05,0.0033879022,2.2939903e-05
55,2.290261914822622e-05,0.0033850707,2.2902599e-05
56,2.2845164505415596e-05,0.0033798493,2.2845168e-05
57,2.2824461221171078e-05,0.0033770069,2.2824503e-05
58,2.2772011775814463e-05,0.0033719284,2.2772012e-05
