epoch,loss,mae,mse
0,0.0007331899513991083,0.00943068,0.00073318864
1,5.247221186204115e-05,0.0052216332,5.247224e-05
2,4.8645637737645305e-05,0.005018897,4.8645707e-05
3,4.6578582009824456e-05,0.004902505,4.657851e-05
4,4.525513345783111e-05,0.0048265327,4.5255147e-05
5,4.423341909423471e-05,0.004766324,4.42334e-05
6,4.3351712292642334e-05,0.0047151493,4.3351713e-05
7,4.2521235762687864e-05,0.004667548,4.2521227e-05
8,4.170685196557315e-05,0.00462304,4.170686e-05
9,4.0867864399333483e-05,0.0045768195,4.086787e-05
10,4.006262857641559e-05,0.004533437,4.006262e-05
11,3.925963025103556e-05,0.0044900654,3.9259598e-05
12,3.8469368611986285e-05,0.0044489847,3.846932e-05
13,3.7722845433745535e-05,0.004407277,3.7722908e-05
14,3.702850465560914e-05,0.00436778,3.702855e-05
15,3.6384103483142095e-05,0.004330272,3.6384026e-05
16,3.580597741965903e-05,0.004296792,3.580599e-05
17,3.521819694142323e-05,0.004262289,3.5218225e-05
18,3.468446198181482e-05,0.0042316723,3.4684457e-05
19,3.415256456530187e-05,0.0042007864,3.4152505e-05
20,3.360460785188479e-05,0.004168495,3.3604658e-05
21,3.308645120661822e-05,0.004138983,3.308648e-05
22,3.2602232626668414e-05,0.004109719,3.260219e-05
23,3.2160025553166635e-05,0.00408134,3.21601e-05
24,3.1727401819080115e-05,0.0040535983,3.1727366e-05
25,3.1338626698125154e-05,0.004029148,3.1338594e-05
26,3.094887474479037e-05,0.004004242,3.094893e-05
27,3.0554872909997356e-05,0.003980277,3.055489e-05
28,3.0152583799354032e-05,0.003956354,3.0152609e-05
29,2.9766840879892696e-05,0.003931256,2.9766852e-05
30,2.9450493304611882e-05,0.0039093294,2.9450466e-05
31,2.9142450475046645e-05,0.003887751,2.9142433e-05
32,2.8895761938765645e-05,0.0038710698,2.8895736e-05
33,2.8659600722021424e-05,0.0038541458,2.8659624e-05
34,2.8419161628116852e-05,0.0038364846,2.8419152e-05
35,2.822299827821553e-05,0.0038227646,2.8222983e-05
36,2.799633884438663e-05,0.003805986,2.7996311e-05
37,2.7796966687164967e-05,0.003791269,2.7796988e-05
38,2.7601321460533653e-05,0.0037760434,2.7601338e-05
39,2.741482992612873e-05,0.003761866,2.7414813e-05
