epoch,loss,mae,mse
0,0.0006946488315020408,0.011786421,0.00069464813
1,7.160333145348299e-05,0.0062940517,7.160337e-05
2,6.498396532993456e-05,0.005981414,6.498397e-05
3,6.122226708150306e-05,0.005801098,6.1222105e-05
4,5.84427568692131e-05,0.0056667617,5.8442816e-05
5,5.616969007397764e-05,0.0055566994,5.616963e-05
6,5.430179701345101e-05,0.0054638963,5.4301792e-05
7,5.2717087550651594e-05,0.005382992,5.271716e-05
8,5.131826207611746e-05,0.005309757,5.1318355e-05
9,5.010361830424262e-05,0.0052452143,5.010352e-05
10,4.907690712153253e-05,0.005189861,4.9077025e-05
11,4.817210223664112e-05,0.0051394864,4.8172184e-05
12,4.739061386189487e-05,0.005095086,4.7390644e-05
13,4.6703255278285886e-05,0.0050557186,4.6703266e-05
14,4.608075068858586e-05,0.00501936,4.6080728e-05
15,4.5527477553661735e-05,0.0049866266,4.552745e-05
16,4.5011062075271755e-05,0.0049552443,4.5010973e-05
17,4.452605515929871e-05,0.0049249874,4.4526034e-05
18,4.410830123134418e-05,0.0048994925,4.4108354e-05
19,4.370531745424759e-05,0.004874194,4.370532e-05
20,4.3327363125247414e-05,0.004850029,4.3327378e-05
21,4.298805220581127e-05,0.004828317,4.298805e-05
22,4.267350624155278e-05,0.0048083193,4.2673524e-05
23,4.238393871168822e-05,0.0047895284,4.2384025e-05
24,4.211909704949248e-05,0.0047724196,4.211909e-05
