epoch,loss,mae,mse
0,0.0016508456299037888,0.01920114,0.0016508478
1,8.37779469111344e-05,0.0069030966,8.377796e-05
2,6.830667953362312e-05,0.0062434794,6.8306676e-05
3,6.188189839357969e-05,0.0059334403,6.188181e-05
4,5.813664635991952e-05,0.0057381936,5.8136615e-05
5,5.564940624638609e-05,0.0056022885,5.56494e-05
6,5.384195383886661e-05,0.0054996256,5.384197e-05
7,5.251980878609948e-05,0.0054228785,5.2519747e-05
8,5.144973974324146e-05,0.0053600054,5.144967e-05
9,5.052327568199596e-05,0.0053043147,5.0523253e-05
10,4.9718951780933866e-05,0.0052546063,4.9718947e-05
11,4.907647066687129e-05,0.0052148323,4.907647e-05
12,4.848941473850175e-05,0.005177836,4.8489383e-05
13,4.798470193275403e-05,0.0051455116,4.7984668e-05
14,4.7513013996403284e-05,0.005115427,4.751305e-05
15,4.7106112645269854e-05,0.0050891135,4.710604e-05
16,4.671765570721493e-05,0.0050637955,4.6717738e-05
17,4.6346916222801316e-05,0.0050396905,4.634686e-05
18,4.6016918658097565e-05,0.005018055,4.601691e-05
19,4.57200158487676e-05,0.004998281,4.5720008e-05
20,4.542985830566972e-05,0.004978727,4.5429824e-05
21,4.516378133437777e-05,0.00496106,4.5163888e-05
22,4.4911094023348614e-05,0.004944493,4.491112e-05
23,4.467518053224177e-05,0.00492872,4.467513e-05
24,4.446273681159231e-05,0.004914623,4.446271e-05
