epoch,loss,mae,mse
0,0.0010970399403496412,0.012935352,0.0010970428
1,6.163012942590285e-05,0.0058196667,6.163007e-05
2,5.6139140415471045e-05,0.005546524,5.6139117e-05
3,5.356947312393458e-05,0.0054085217,5.356945e-05
4,5.195188907557167e-05,0.005317246,5.195185e-05
5,5.0768428301089445e-05,0.005249703,5.076852e-05
6,4.978020022739656e-05,0.0051918076,4.9780316e-05
7,4.898379197489703e-05,0.005145265,4.898377e-05
8,4.829341290926095e-05,0.005103835,4.8293463e-05
9,4.7686078595288566e-05,0.005066985,4.768603e-05
10,4.716088946792297e-05,0.0050343964,4.7160844e-05
11,4.667471269494854e-05,0.0050040693,4.6674715e-05
12,4.623317584337201e-05,0.004976436,4.6233326e-05
13,4.583430409431458e-05,0.0049514645,4.5834313e-05
14,4.545255547855049e-05,0.004927701,4.5452503e-05
15,4.511156002845382e-05,0.0049065794,4.5111647e-05
16,4.47930895225727e-05,0.004886898,4.4793e-05
17,4.448989114403958e-05,0.004867884,4.4489938e-05
18,4.41942213071161e-05,0.0048493743,4.419424e-05
19,4.390482767310459e-05,0.0048306505,4.390481e-05
20,4.365488543437096e-05,0.004814927,4.3654985e-05
21,4.3414488135895225e-05,0.0047996244,4.341454e-05
22,4.316167032549856e-05,0.004783076,4.316161e-05
23,4.2927759400045035e-05,0.0047677355,4.292775e-05
24,4.271518563531572e-05,0.0047536334,4.2715244e-05
