epoch,loss,mae,mse
0,0.0019363582763436717,0.020033643,0.0019363555
1,7.872587817313615e-05,0.0066527915,7.872585e-05
2,6.452238098077941e-05,0.006005477,6.45224e-05
3,5.895610601641238e-05,0.005721732,5.8956055e-05
4,5.5805175424611664e-05,0.005549153,5.5805092e-05
5,5.369938410149189e-05,0.005427674,5.369949e-05
6,5.224980585393496e-05,0.0053410204,5.224984e-05
7,5.113642707030522e-05,0.005272738,5.1136565e-05
8,5.024361076095374e-05,0.0052176076,5.02436e-05
9,4.945437122427393e-05,0.005168653,4.9454313e-05
10,4.879924227076117e-05,0.0051280097,4.879921e-05
11,4.820587571186479e-05,0.005090761,4.8205824e-05
12,4.7692428465234114e-05,0.0050575878,4.76924e-05
13,4.724642824265174e-05,0.0050291945,4.7246456e-05
14,4.683840635756496e-05,0.0050028893,4.6838413e-05
15,4.6466554327053015e-05,0.0049788593,4.646653e-05
16,4.6143432423123156e-05,0.0049579116,4.6143345e-05
17,4.584433935116977e-05,0.0049387175,4.584441e-05
18,4.559190017462242e-05,0.004922537,4.5591885e-05
19,4.5333124388416764e-05,0.004905774,4.5333232e-05
20,4.51013992910157e-05,0.00489098,4.51013e-05
21,4.4879459583025894e-05,0.004876544,4.4879416e-05
22,4.4676785658521114e-05,0.004863226,4.467679e-05
23,4.449068626301596e-05,0.0048508174,4.449069e-05
24,4.429550699947868e-05,0.0048374394,4.4295597e-05
