epoch,loss,mae,mse
0,0.0011618547341542803,0.011692495,0.0011618565
1,5.610100926291258e-05,0.005488393,5.6100984e-05
2,5.0382938338137733e-05,0.0051930062,5.038276e-05
3,4.662986047787318e-05,0.004988984,4.6629793e-05
4,4.397044559358923e-05,0.00483423,4.3970456e-05
5,4.2128105536659355e-05,0.004723684,4.2128082e-05
6,4.079574188346947e-05,0.004641504,4.0795745e-05
7,3.9799811536007106e-05,0.0045777475,3.9799805e-05
8,3.900153949370633e-05,0.0045255534,3.900157e-05
9,3.8340477922297564e-05,0.004481831,3.834047e-05
10,3.779370065411237e-05,0.0044453572,3.779364e-05
11,3.7369124354402285e-05,0.0044167503,3.7369096e-05
12,3.699648585388197e-05,0.004391008,3.6996546e-05
13,3.668406664911156e-05,0.00436932,3.6684094e-05
14,3.639543921759112e-05,0.0043496112,3.6395406e-05
15,3.6122907502303486e-05,0.00433081,3.6122878e-05
16,3.5894855976689125e-05,0.004314993,3.5894853e-05
17,3.567926611997501e-05,0.004299372,3.5679237e-05
18,3.548754625066616e-05,0.0042854957,3.54876e-05
19,3.531543367882541e-05,0.004273175,3.5315446e-05
20,3.515853684260674e-05,0.004261445,3.515852e-05
21,3.501969578759976e-05,0.0042510335,3.5019704e-05
22,3.487933704940375e-05,0.0042403205,3.487944e-05
23,3.4754299394069716e-05,0.004230665,3.4754317e-05
24,3.463225753585974e-05,0.0042214813,3.4632263e-05
