epoch,loss,mae,mse
0,0.005804731584382244,0.049030688,0.0058047455
1,0.0002751791764574591,0.0116802575,0.00027517884
2,0.00016915110853035002,0.009359056,0.00016915143
3,0.0001382050613150932,0.008666889,0.00013820488
4,0.00012278965865960344,0.0082438905,0.00012278961
5,0.00011292625671252608,0.007944888,0.00011292609
6,0.00010627841995155904,0.0077363527,0.00010627851
7,0.00010124957238673232,0.0075680255,0.00010124944
8,9.695408506668173e-05,0.0074176844,9.69541e-05
9,9.31705077906372e-05,0.0072789066,9.3170565e-05
10,9.002189080871176e-05,0.0071589197,9.002174e-05
11,8.726539245224557e-05,0.007050523,8.72654e-05
12,8.491735608782619e-05,0.0069582826,8.4917396e-05
13,8.296825557888951e-05,0.006881098,8.2968225e-05
14,8.129520246293396e-05,0.0068138763,8.12951e-05
15,7.981065544241574e-05,0.0067536538,7.981058e-05
16,7.852537412312813e-05,0.006700922,7.852537e-05
17,7.736632522894069e-05,0.0066529927,7.736648e-05
18,7.629249652440194e-05,0.0066084666,7.629262e-05
19,7.531272203312255e-05,0.006567827,7.531264e-05
20,7.437674027169123e-05,0.006528453,7.437667e-05
21,7.348930326814298e-05,0.006491099,7.348926e-05
22,7.26526445406489e-05,0.006455165,7.265271e-05
23,7.177949263714254e-05,0.0064175823,7.1779505e-05
24,7.089695446367842e-05,0.006378787,7.0897004e-05
