epoch,loss,mae,mse
0,0.021970425232330892,0.06317198,0.021970507
1,0.00031445194767396707,0.01332543,0.0003144518
2,0.00015224849760591135,0.0094222445,0.00015224861
3,0.00010645922982819768,0.007901405,0.0001064591
4,8.37151978580887e-05,0.007027196,8.371518e-05
5,7.014870639796002e-05,0.006452006,7.014876e-05
6,6.11539510986643e-05,0.0060387105,6.1153994e-05
7,5.484437659019e-05,0.0057305368,5.4844426e-05
8,5.017080808821761e-05,0.0054905834,5.0170835e-05
9,4.643389409122141e-05,0.0052897,4.6433954e-05
10,4.330484242813447e-05,0.005114197,4.3304866e-05
11,4.0683845704974166e-05,0.0049618804,4.06839e-05
12,3.845660561812269e-05,0.0048282295,3.8456546e-05
13,3.6539289716194615e-05,0.0047109686,3.6539244e-05
14,3.485410494313215e-05,0.0046042814,3.4854103e-05
15,3.3364099436634864e-05,0.00450697,3.3364122e-05
16,3.206583852949218e-05,0.0044208057,3.2065862e-05
17,3.0891759733590423e-05,0.004341386,3.0891733e-05
18,2.9843226415837893e-05,0.004269788,2.9843228e-05
19,2.8896513166432046e-05,0.004204019,2.889648e-05
20,2.8052929650467344e-05,0.004144234,2.8052938e-05
21,2.7297688883734646e-05,0.0040896903,2.7297692e-05
22,2.6589875021919223e-05,0.004037471,2.6589902e-05
23,2.594333606509693e-05,0.003989263,2.5943282e-05
24,2.533060143608608e-05,0.003942868,2.53306e-05
