epoch,loss,mae,mse
0,0.0011398825567515514,0.013866388,0.0011398812
1,7.032960917280635e-05,0.006210014,7.032955e-05
2,6.454957680426818e-05,0.005924425,6.4549546e-05
3,6.166340214888395e-05,0.0057804794,6.166348e-05
4,5.942349954932022e-05,0.0056703626,5.942359e-05
5,5.75350670883759e-05,0.005578562,5.7535064e-05
6,5.589437164955918e-05,0.00549834,5.589438e-05
7,5.443527651018442e-05,0.005425866,5.4435262e-05
8,5.313955919411089e-05,0.005361627,5.3139454e-05
9,5.195055903150244e-05,0.005302105,5.1950523e-05
10,5.086746243880797e-05,0.0052463952,5.0867387e-05
11,4.9881878532462706e-05,0.0051957187,4.9881775e-05
12,4.898446949077753e-05,0.0051491014,4.8984406e-05
13,4.81491843569137e-05,0.00510449,4.814911e-05
14,4.739694292331072e-05,0.0050635785,4.7396887e-05
15,4.672047977043083e-05,0.005026612,4.6720445e-05
16,4.6106055489198396e-05,0.004992302,4.610602e-05
17,4.55306134735725e-05,0.004959723,4.5530593e-05
18,4.500159104699859e-05,0.0049298834,4.500166e-05
19,4.4513656658872784e-05,0.0049010995,4.4513698e-05
20,4.407625514194347e-05,0.004875227,4.40763e-05
21,4.367408956144506e-05,0.0048514106,4.3674067e-05
22,4.330597623329025e-05,0.0048293304,4.3305987e-05
23,4.29625663879686e-05,0.004808328,4.2962558e-05
24,4.264352438440508e-05,0.004788469,4.2643573e-05
