epoch,loss,mae,mse
0,0.0021434702864820514,0.023564737,0.0021434622
1,0.00010706241652271782,0.0077596237,0.0001070626
2,7.892549941051347e-05,0.0066764792,7.892537e-05
3,6.893826826041399e-05,0.006238926,6.893826e-05
4,6.352944745726176e-05,0.0059854016,6.3529435e-05
5,6.001332558261212e-05,0.0058117365,6.001343e-05
6,5.7564640221243085e-05,0.005686266,5.7564605e-05
7,5.565359963271951e-05,0.0055833566,5.565358e-05
8,5.415058029037176e-05,0.005499917,5.4150558e-05
9,5.292394792354494e-05,0.005430169,5.292393e-05
10,5.194870524797816e-05,0.005373815,5.194865e-05
11,5.1140010854263365e-05,0.005326288,5.1140058e-05
12,5.0455206571112386e-05,0.0052857446,5.045527e-05
13,4.984358330409332e-05,0.0052487357,4.984358e-05
14,4.92951037813576e-05,0.005215788,4.9295068e-05
15,4.880219682896221e-05,0.0051854826,4.8802052e-05
16,4.836643075801279e-05,0.005158522,4.8366415e-05
17,4.796575685453705e-05,0.00513329,4.7965732e-05
18,4.758807632370581e-05,0.0051094936,4.7588037e-05
19,4.723099137857451e-05,0.0050867335,4.7230962e-05
20,4.690676122706968e-05,0.005066166,4.690679e-05
21,4.660259059262499e-05,0.0050464207,4.660255e-05
22,4.6320476942003405e-05,0.005028319,4.632056e-05
23,4.604054658201545e-05,0.005010392,4.6040506e-05
24,4.577162503274427e-05,0.004993114,4.5771612e-05
