epoch,loss,mae,mse
0,0.0008754526107630227,0.012867949,0.0008754525
1,7.6285999538959e-05,0.006403272,7.628593e-05
2,6.552167176851072e-05,0.0059616533,6.552165e-05
3,6.064309234992834e-05,0.0057442402,6.0643153e-05
4,5.771341209503589e-05,0.005606548,5.7713532e-05
5,5.567288014339283e-05,0.0055051735,5.567292e-05
6,5.413980603014352e-05,0.005426882,5.4139724e-05
7,5.292183596466202e-05,0.0053632585,5.2921958e-05
8,5.189491759752855e-05,0.005308416,5.189493e-05
9,5.103718629135983e-05,0.0052612317,5.1037197e-05
10,5.029430387425236e-05,0.0052197375,5.029424e-05
11,4.9630795003613455e-05,0.005182042,4.9630817e-05
12,4.905023501632968e-05,0.005148722,4.905015e-05
13,4.8530723255244084e-05,0.005118174,4.8530754e-05
14,4.805843675741926e-05,0.0050905487,4.8058515e-05
15,4.7632313689391595e-05,0.005065559,4.763229e-05
16,4.724505854625022e-05,0.0050426335,4.724492e-05
17,4.6879253566730766e-05,0.0050207903,4.6879264e-05
18,4.653846762375906e-05,0.0050000385,4.653846e-05
19,4.622767099208431e-05,0.0049814307,4.6227626e-05
20,4.592679941037204e-05,0.00496302,4.59268e-05
21,4.565254766348517e-05,0.004946212,4.5652534e-05
22,4.539141500747064e-05,0.004929976,4.5391436e-05
23,4.5133562149421776e-05,0.0049136006,4.5133533e-05
24,4.4898370143491774e-05,0.0048990753,4.489837e-05
