epoch,loss,mae,mse
0,0.0033144581904425287,0.02781098,0.0033144555
1,8.326894015190192e-05,0.0068100537,8.326891e-05
2,6.624951518140734e-05,0.006093266,6.6249544e-05
3,6.043785280082375e-05,0.005806022,6.0437913e-05
4,5.702237090823473e-05,0.0056216265,5.702243e-05
5,5.4590488751709925e-05,0.005485232,5.4590462e-05
6,5.294277382432483e-05,0.005388389,5.2942807e-05
7,5.170750212477287e-05,0.0053135674,5.1707473e-05
8,5.0727325204643424e-05,0.0052536265,5.0727194e-05
9,4.9917688853747674e-05,0.005203644,4.9917646e-05
10,4.9228621766669676e-05,0.005160024,4.922862e-05
11,4.8650137868535236e-05,0.0051227813,4.865007e-05
12,4.814523167355219e-05,0.0050904597,4.8145088e-05
13,4.766953855025349e-05,0.005060043,4.766955e-05
14,4.725445861375192e-05,0.005032636,4.7254467e-05
15,4.6902127334324175e-05,0.005009961,4.6902238e-05
16,4.6572505218209696e-05,0.004988729,4.65726e-05
17,4.6254949973954354e-05,0.004968436,4.625498e-05
18,4.597668716945918e-05,0.004949774,4.5976696e-05
19,4.5731475456268526e-05,0.0049337335,4.5731507e-05
20,4.550907859549625e-05,0.0049191457,4.5509052e-05
21,4.5291410261997955e-05,0.0049047554,4.5291363e-05
22,4.5096201576234305e-05,0.0048921094,4.5096196e-05
23,4.490609289234271e-05,0.0048796013,4.490614e-05
24,4.473048350133467e-05,0.004867855,4.4730365e-05
