epoch,loss,mae,mse
0,0.0014703232544645906,0.013931955,0.0014703281
1,5.910449854332431e-05,0.0056900945,5.910446e-05
2,5.2140187578043144e-05,0.0053124777,5.2140287e-05
3,4.8413942227755e-05,0.005101964,4.841399e-05
4,4.5889142002112957e-05,0.004954873,4.588907e-05
5,4.408139364771987e-05,0.0048480746,4.4081335e-05
6,4.270632517864707e-05,0.004766616,4.2706353e-05
7,4.162330885845705e-05,0.0047009275,4.1623218e-05
8,4.074369355457578e-05,0.0046454,4.0743696e-05
9,4.00311770296464e-05,0.004600165,4.0031216e-05
10,3.945074650374013e-05,0.004562145,3.9450748e-05
11,3.8931425020315834e-05,0.0045272787,3.8931386e-05
12,3.847449346514016e-05,0.0044967397,3.84745e-05
13,3.80840017241631e-05,0.0044698007,3.8083952e-05
14,3.773518037881483e-05,0.0044455677,3.7735157e-05
15,3.7416816903056554e-05,0.0044236314,3.7416834e-05
16,3.7137604392679086e-05,0.004403442,3.7137674e-05
17,3.689433860227555e-05,0.0043858443,3.6894293e-05
18,3.6680436891023326e-05,0.0043706847,3.6680423e-05
19,3.647703009730472e-05,0.0043559396,3.647704e-05
20,3.6289872942330804e-05,0.0043424326,3.6289875e-05
21,3.612043065938859e-05,0.0043296753,3.61204e-05
22,3.595857014667027e-05,0.004317586,3.59586e-05
23,3.580040818058887e-05,0.0043056384,3.580039e-05
24,3.565329705729677e-05,0.0042946464,3.565328e-05
