epoch,loss,mae,mse
0,0.0005456848952814471,0.009699916,0.00054568495
1,5.343032779463101e-05,0.005335335,5.3430256e-05
2,4.89574863424059e-05,0.005092949,4.895741e-05
3,4.6836144921253434e-05,0.0049700425,4.6836194e-05
4,4.541638909839094e-05,0.004887105,4.5416426e-05
5,4.430131277971668e-05,0.0048215343,4.4301363e-05
6,4.335524442372844e-05,0.0047639585,4.335527e-05
7,4.261558003927348e-05,0.0047180206,4.2615615e-05
8,4.199038309277966e-05,0.0046786116,4.199035e-05
9,4.145172777702101e-05,0.0046448126,4.1451767e-05
10,4.096406855795067e-05,0.00461335,4.096412e-05
11,4.05242675714544e-05,0.0045852344,4.0524286e-05
12,4.0133824113581796e-05,0.0045598317,4.0133804e-05
13,3.978257691342151e-05,0.004536006,3.978261e-05
14,3.94720999582205e-05,0.0045148362,3.9472106e-05
15,3.919078198756324e-05,0.004495505,3.9190778e-05
16,3.892593626660528e-05,0.004477077,3.8925984e-05
17,3.868126150104217e-05,0.0044594062,3.8681308e-05
18,3.845402147184359e-05,0.004442955,3.845404e-05
19,3.82495858357288e-05,0.0044284416,3.824956e-05
20,3.804997446830385e-05,0.004414048,3.8050013e-05
21,3.786363982333569e-05,0.0044007828,3.786361e-05
22,3.76964457941358e-05,0.004388306,3.769647e-05
23,3.75385184364859e-05,0.0043766988,3.7538575e-05
24,3.7389249039115384e-05,0.004365482,3.7389316e-05
