epoch,loss,mae,mse
0,0.0023861843919018313,0.01704754,0.0023861823
1,9.872626968853746e-05,0.0077556004,9.872625e-05
2,7.095466924582662e-05,0.006563186,7.09547e-05
3,5.428492359604209e-05,0.005768281,5.4284974e-05
4,4.552175869121654e-05,0.0052866153,4.552173e-05
5,4.094350700831831e-05,0.0050018905,4.0943498e-05
6,3.6274483448517464e-05,0.0047257897,3.6274494e-05
7,3.291884338067872e-05,0.004487038,3.2918815e-05
8,2.966956395207766e-05,0.0042692563,2.9669514e-05
9,2.7309327351639863e-05,0.00410016,2.7309348e-05
10,2.528314650341963e-05,0.0039461283,2.5283154e-05
11,2.3406885132633383e-05,0.0037853827,2.3406876e-05
12,2.2740201731924625e-05,0.0037258032,2.2740238e-05
13,2.15283949148373e-05,0.00363286,2.1528402e-05
14,2.0411817625426566e-05,0.0035253796,2.041182e-05
15,1.9584416099250546e-05,0.0034613109,1.9584422e-05
16,1.899819876371885e-05,0.0033959637,1.8998213e-05
17,1.801489225535815e-05,0.0033076059,1.801489e-05
18,1.7194125123216413e-05,0.00323792,1.7194145e-05
19,1.664868254384865e-05,0.0031963193,1.6648677e-05
20,1.5892027298043915e-05,0.003126881,1.5892041e-05
21,1.540480830132933e-05,0.0030814265,1.540483e-05
22,1.4997798746292725e-05,0.0030436434,1.4997809e-05
23,1.4576505070948664e-05,0.00299537,1.4576487e-05
24,1.4284024889808165e-05,0.0029621532,1.4284048e-05
