epoch,loss,mae,mse
0,0.10916642525740787,0.28711984,0.109166294
1,0.1056353701194953,0.2823663,0.105635256
2,0.0956781879779051,0.26831737,0.09567813
3,0.0772977389856495,0.24000219,0.077297956
4,0.05400220970233483,0.19854909,0.054002117
5,0.031951836042661344,0.15014945,0.03195173
6,0.016673447336293758,0.10609737,0.01667344
7,0.008539144485820997,0.07389852,0.008539172
8,0.004171871643517714,0.05029822,0.0041718683
9,0.002618115160319212,0.03908834,0.0026181198
10,0.00216480878045066,0.03516133,0.0021648132
11,0.0019168873156237172,0.032850504,0.0019168935
12,0.0017447488220988798,0.03114602,0.0017447467
13,0.001617381700921868,0.029799571,0.0016173805
14,0.0015205364688166457,0.028716141,0.0015205374
15,0.001445167081482926,0.027835995,0.0014451636
16,0.0013850604608452112,0.027113544,0.0013850572
17,0.001335914427415281,0.026513014,0.0013359167
18,0.001294731960992034,0.026005726,0.0012947307
19,0.0012594047607215758,0.025567958,0.0012594026
20,0.0012284369305432825,0.025181688,0.0012284343
21,0.0012007583426399497,0.024833806,0.0012007604
22,0.001175602009857116,0.02451395,0.0011756028
23,0.001152428697222367,0.024215171,0.0011524276
24,0.001130867676407741,0.023932517,0.0011308696
