epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.004003313409648835,0.036015123,0.004003315,0.00025535846814226434,0.011987166,0.00025535535
1,0.00018569021000449236,0.010016829,0.00018569041,0.00014415097650827266,0.0087411,0.0001441503
2,0.00013302769041154534,0.008485615,0.00013302764,0.00012199846725855515,0.008117574,0.000121997204
3,0.00011218278898779924,0.0077942954,0.000112182766,0.00010489170059376879,0.0074884277,0.00010489054
4,0.00010030939431472992,0.0073510166,0.000100309444,9.427577234023377e-05,0.0070571755,9.4274576e-05
5,9.283520260709338e-05,0.0070504923,9.2835144e-05,8.814317742493637e-05,0.0067933477,8.814207e-05
6,8.781781644172346e-05,0.006845573,8.781787e-05,8.356446065074521e-05,0.0065986766,8.3563384e-05
7,8.415504934925897e-05,0.0066920063,8.4155065e-05,8.05062622043353e-05,0.0064683454,8.050512e-05
8,8.133968610859786e-05,0.006574622,8.133972e-05,7.771591600623913e-05,0.0063331355,7.771458e-05
9,7.895741726698664e-05,0.00647313,7.895744e-05,7.593789569271434e-05,0.0062461877,7.5936325e-05
10,7.701438649557531e-05,0.0063896654,7.7014425e-05,7.340368582608946e-05,0.0061180913,7.340234e-05
11,7.539810822578147e-05,0.006318701,7.539815e-05,7.250736512364101e-05,0.0060798815,7.250584e-05
12,7.409832228324376e-05,0.0062610684,7.409836e-05,7.104062810687182e-05,0.0060090944,7.103935e-05
13,7.29024824500084e-05,0.0062069804,7.290242e-05,7.043871614834847e-05,0.005992079,7.043735e-05
14,7.190693609338874e-05,0.006161646,7.190696e-05,6.954112756471956e-05,0.0059498223,6.95397e-05
15,7.097896742013594e-05,0.0061180117,7.0978946e-05,6.851292290843762e-05,0.0058893026,6.851136e-05
16,7.01133917128512e-05,0.006077224,7.0113376e-05,6.785234229675232e-05,0.0058609387,6.78509e-05
17,6.934430704646123e-05,0.006040793,6.934436e-05,6.722327907332725e-05,0.0058305254,6.722187e-05
18,6.861321723554283e-05,0.0060070357,6.861316e-05,6.624938266823398e-05,0.0057824417,6.624796e-05
19,6.796182324993424e-05,0.0059760436,6.79619e-05,6.540299755935608e-05,0.0057342374,6.540162e-05
20,6.735787332834055e-05,0.0059486097,6.735791e-05,6.452526670044826e-05,0.0056905565,6.4523796e-05
21,6.677100176884172e-05,0.0059210546,6.677108e-05,6.378816039301179e-05,0.005652761,6.378666e-05
22,6.625517299010729e-05,0.0058963015,6.625512e-05,6.293818532744528e-05,0.0055999686,6.293675e-05
23,6.574207518909437e-05,0.005872458,6.574207e-05,6.249635051037519e-05,0.005576129,6.249478e-05
24,6.524712908469761e-05,0.005849445,6.524717e-05,6.183141078254818e-05,0.005537364,6.182979e-05
