epoch,loss,mae,mse
0,0.0008712036768731196,0.012185841,0.00087120256
1,6.795557954639663e-05,0.005895349,6.7955574e-05
2,5.870600568043301e-05,0.0054621473,5.8706006e-05
3,5.5047809185343795e-05,0.005272617,5.5047884e-05
4,5.270964465598809e-05,0.0051511195,5.2709594e-05
5,5.08883293211693e-05,0.0050549186,5.088826e-05
6,4.9414287063409574e-05,0.0049763606,4.9414317e-05
7,4.8186487148341254e-05,0.0049105687,4.818641e-05
8,4.6960654713620894e-05,0.00484648,4.6960613e-05
9,4.602809507079655e-05,0.0047967387,4.6028126e-05
10,4.519905250432203e-05,0.0047506983,4.5198925e-05
11,4.449953846284188e-05,0.0047120694,4.4499535e-05
12,4.382095540495357e-05,0.004674761,4.382095e-05
13,4.321793810318923e-05,0.0046422672,4.3217864e-05
14,4.263599008874735e-05,0.004610566,4.2636053e-05
15,4.2105024205811784e-05,0.0045820796,4.2104977e-05
16,4.163137809955515e-05,0.0045566396,4.1631378e-05
17,4.117355812632013e-05,0.004532095,4.1173593e-05
18,4.076141785859363e-05,0.0045100525,4.07614e-05
19,4.0367480418935883e-05,0.0044885715,4.0367522e-05
20,3.9994082050397994e-05,0.004468717,3.9994076e-05
21,3.962107740357169e-05,0.0044485996,3.962107e-05
22,3.927057081193198e-05,0.004429521,3.927059e-05
23,3.8935162835259686e-05,0.004411038,3.893521e-05
24,3.8591507778619415e-05,0.0043918956,3.859151e-05
