epoch,loss,mae,mse
0,0.02480723733768009,0.07482739,0.024807135
1,0.0006939058582592244,0.01955748,0.000693906
2,0.00034436956635069363,0.013991696,0.00034436962
3,0.00023584765087545915,0.0116910245,0.00023584782
4,0.00018474004579226443,0.010391661,0.00018474043
5,0.00015542440301133934,0.009551951,0.00015542468
6,0.0001364023957785917,0.008959441,0.00013640239
7,0.0001222458290222997,0.0084846085,0.00012224601
8,0.000110860771994506,0.00808578,0.000110860594
9,0.00010105585779267841,0.0077268183,0.000101055804
10,9.279888106792446e-05,0.007409062,9.279896e-05
11,8.614864601807802e-05,0.007144276,8.614879e-05
12,8.093423498832553e-05,0.006930368,8.093413e-05
13,7.659430814972749e-05,0.006748678,7.659432e-05
14,7.271933355534748e-05,0.006581345,7.271939e-05
15,6.93919714573569e-05,0.0064333105,6.9391994e-05
16,6.66227435452048e-05,0.006307833,6.6622895e-05
17,6.424566228489765e-05,0.0061976574,6.424569e-05
18,6.211463013549094e-05,0.0060960623,6.2114625e-05
19,6.0162332987583854e-05,0.0060008755,6.016216e-05
20,5.841041121135372e-05,0.005914914,5.8410333e-05
21,5.679626308981785e-05,0.005834356,5.6796234e-05
22,5.529334666813702e-05,0.0057579773,5.5293258e-05
23,5.388839074906133e-05,0.005684571,5.3888427e-05
24,5.258594879198835e-05,0.005615731,5.2585983e-05
