epoch,loss,mae,mse
0,0.018504312542291335,0.051159684,0.018504323
1,0.0001690078016811262,0.009599657,0.00016900786
2,8.57343125850043e-05,0.0070018303,8.57342e-05
3,6.11902299441152e-05,0.005973064,6.119028e-05
4,4.978394593199691e-05,0.005412418,4.9783885e-05
5,4.3178850000562746e-05,0.0050522597,4.317878e-05
6,3.876417699633309e-05,0.0047949296,3.8764196e-05
7,3.55368561762816e-05,0.004597594,3.5536872e-05
8,3.3018702106886954e-05,0.004437579,3.301865e-05
9,3.092163241577138e-05,0.0042985226,3.092164e-05
10,2.9083678857926567e-05,0.004174425,2.9083694e-05
11,2.7245724542286097e-05,0.004048434,2.724573e-05
12,2.5726082718614436e-05,0.0039389413,2.572608e-05
13,2.4458156565711952e-05,0.0038439936,2.4458135e-05
14,2.334295989385904e-05,0.003757443,2.3342945e-05
15,2.2342565087804787e-05,0.0036778247,2.2342589e-05
16,2.1434801315884827e-05,0.0036034079,2.1434811e-05
17,2.061034702898241e-05,0.0035342434,2.0610381e-05
18,1.9850272271141384e-05,0.0034690802,1.9850278e-05
19,1.9193371754621018e-05,0.0034117203,1.9193383e-05
20,1.8606561783242715e-05,0.0033598484,1.860656e-05
21,1.8070821868118295e-05,0.0033120378,1.807085e-05
22,1.756766977137598e-05,0.003266938,1.7567669e-05
23,1.7107882001098785e-05,0.003225251,1.7107897e-05
24,1.6699491053414454e-05,0.0031879833,1.6699509e-05
